詞條,英文解釋,中文解釋,阿美語例句,英文例句,中文例句,參見
siiked,to separate into graded groups,分開，按級分組 (分門別類),Siikeden ko siri.,Separate the goats by kinds i.e. black vs. white.,把羊分類一邊是白一邊是黑的,
siikor,to look behind * to the rear,回顧，向後看，相背,O misiikoray cingra to wawa nira.,She went back to look after her child.,他回去照顧他的孩子,soikor
,,,Aka pasasiikor a minengneng.,Don't look back.,勿回首，不要向後看,
,to be concerned enough to go back to one's home and responsibilities (from which they have left),因關切而重返家庭並負起責任,,,,
sikal,a sleeping mat made of grass or thin bamboo strips,草蓆或竹蓆,,,,
sikatay,choir (from Japanese),聖歌隊 (引自日語),,,,
siked,to separate from the rest,分開，單獨，獨立,,,,cidek
sikeda,to hit a target * to lodge upon,擊中，投中，投宿於,Masikeda no fokeloh kako.,I was hit by a rock.,我被石頭擊中,
,,,Masikeda no adada kako anini.,Sickness has found me.,我生病了,
,,,Masikeda ko pikowang nira.,He shot his gun and hit the target.,他射擊，擊目中標,
siket,to be attached to * joined to,附著於，加入,Misiket ko faloco' ako  Yisan.,My heart is attached to Jesus. * i.e. I abide in Jesus * trust in Him.,我的心屬於耶穌基督，我心與上帝同在,"pisiketan, pasiket"
,,,Tahasiket i ca'ang no kilang ko fongoh nira.,His hair (head) got caught in tree branches.,他的頭髮被樹枝鉤住了,
sikiw,to look sideways while facing straight ahead because of hate,斜視，敵視,,,,
sikol,to look back,向後看,,,,
,an attitude of concern for * care for,關心,O tatiihay a ina cingra. Caay pisikol cingra to wawa nira.,She is a bad mother. She doesn't have an attitude of care for her child.,她都不照顧孩子，是一位不負責任的母親,
sila',to be watery * as rice which doesn't boil dry when cooked,水分過多 (如煮飯未充分蒸發水分時而成軟黏現象),,,,masila'
silay,to go off course * to go askew,我們想要走正，結果走偏,,,,
silsil,to lay out in piles,堆疊，排列,,,,
,to divide up for positions or activities,按職位或活動分配,lsil  cangra to tayal.,They divided up their work responsibilities.,我們分配工作責任,
simaanay,it doesn't matter,沒有關係,,,,
,anything will do,隨便，無所謂,,,,asimaanay
simal,oil * grease,油,,,,
,fat,肥肉,Adihay ko simal nonini a titi.,This meat is full of fat.,這塊肉的肥肉很多,
,gasoline,汽油,O 'a'acaen ita ko simal.,We must buy gasoline.,我得買汽油了,pasimal
,,,Cisimalay ko mata nira.,His eyes are full of lust.,他眼中充滿色慾，他的眼睛好色,
simanta',to eat raw food,生吃,Tatiih a simanta'  a komaen to titi.,It is bad to eat raw meat.,吃生肉不好，生吃沒有煮過的肉是不好的,
simaw,to guard * watch,看顧，照顧，看守，守護，守衛,Masimaw no mato'asay ko pipawalian to panay.,The drying grain is being watched by the elders.,外面曬的稻穀老人家在看守著,
,,,Simawen no sofitay ko lawac no riyar.,Soldiers guard the coastline.,海防部隊守著海邊(海岸),
,,,Masimaw no was ko faloco' ako.,God guards my heart.,我的心被神保佑，我心蒙神保佑,
simed,to hide something,隱藏，隱瞞，守密,Aka pisimed to raraw iso.,Don't hide your sin.,不要隱藏你的罪,
,,,Simeden ko payso iso ta caay ka takaw,Hide your money so it won't be stolen.,把你的錢收藏好，才不致被偷,
,,,O lasimeday a tamdaw cingra.,He is always hiding things * i.e. he is secretive.,他總是藏東藏西的,
simelang,embarrassing * inappropriate * poor taste * shameful,不適當的，鑑賞力差的，可恥的,,,,"simelang, kasimelangan"
simpal,cymbals (from Japanese),鐃鈸 (引自日語),,,,
simpo,priest * leader of the Catholic Church (from Japanese),神父 (引自日語),,,,
simpon,newspaper * magazine  (from Japanese),報紙，雜誌 (引自日語),,,,
sinang,the blade edge of knife or machete,刀刃很鋒利,,,,
sinanot,to be careful,謹慎小心,,,,
sinar,watermelon,西瓜,,,,"kacawas, lidaw"
sinawar,to be dizzy from sickness or fever * from being intoxicated * from car sickness or seasickness,因病或發燒所引起的頭暈；使陶醉，使如夢似的 (FIXME)；暈車或暈船,,,,
singara',gills of a fish,魚鰓,,,,
singasing,small bells worn by the Amis,阿美族佩帶在身上的小鈴鐺,,,,
singat,to not wipe oneself after a bowel movement * unwiped bottom,上完廁所後沒有擦屁股,,,,
singda,something dirty or obnoxious,污穢或令人厭惡的東西,Pasingda han nira ko sowal.,He said something dirty.,他說了些髒話,
singko,faith * trust (in Christ's provision including salvation and all personal needs),信心，信任 (上帝所賜與的一切包括救贖及一切個人所需),,,,
,the faith you have * your religion,所信仰之宗教，你所持有的宗教信仰，你有信仰宗教,,,,
,an Amis village (from Japanese),台東縣成功鎮 (引自日語),,,,Singko
singsi,an address * sir,講演，先生,,,,
,teacher (from Japanese),老師 (引自日語),,,,
sini'ada,pity,同情,O kasini'adaan a tamdaw cingra.,He is a person who needs to have kindness shown towards him.,他是值得同情的人,
,,,O kasini'adaan a tamdaw koya marofoay.,That prisoner is someone to feel sorry for.,那些被關起來的人，值得同情,
,grace * gracious,慈悲的,O lasini'adaay a was ko was ita.,Our God is always gracious and kind.,我們的上帝是滿有慈愛的神,
,kindness * kind,仁慈，親切，和藹的,O nano sini'ada no was ko pipa'orip nira i titaanan.,God saves us on the basis of His grace.,由於上帝的慈愛自罪惡中拯救我們，才使我們得著生命,
sino'et,sweat perspiration,汗，流汗，出汗,,,,"ciferang, ifangat, cahiw"
sioy,kettle * pan for cooking,鍋,,,,
sipasip,to apply to * rub on the surface of something,撫，貼，塗，熬,Sipasipen no Israil ko remes no siri i fawahan no loma'.,The Israelites applied the blood of sheep to the doorways of their homes.,以色列人把羊的血塗在門檻上,
,to erase,擦掉，抹去，削除,Sipasipen koya tilid.,Erase that writing.,把那個字擦掉,
sipolo',to be separated from and thus left alone,因分離而獨居，分家,,,,"masipolo', maponengay"
sipon,loss * to suffer loss,損失，損害，蒙受損失，虧損,Masipon kami to nano faliyos.,We suffered loss because of the typhoon.,由因颱風使我們損失慘重,
,,,Hakowa ko sipon namo?,How much was your loss?,你們損失多少,
siraw,salted meat of fish preserved in brine,鹽醃的肉或魚保存在鹽水裡(鹹肉),,,,
siri,goats,公羊,enay to siri,shepherd,牧羊者,"tadasiri, pasirian, Pisirian"
,,,tofor a siri,a kid * young goat,小羊，小山羊,
sisir,a scraping sound,擦去，抹去，削去，擦 (削) 的聲音,,,,
,to slide,滑，溜,,,,selic
,to slide on one's bottom (seat),用屁股 (坐) 溜滑,,,,posisir
sisit,to wipe away * rub clean,擦拭、拭掉、摩擦乾淨,Masisit nira ko 'oning.,He wiped the dirt off.,他把污穢擦掉,
,,,Sisiten ko losa' no wawa.,Wipe away the child's tears.,把孩子的眼淚擦掉,
siwa,nine,九,,,,sakasiwa
siwala,to be mixed up * confused,混淆，弄錯，困惑，混亂，搞亂,lasiwala kako.,I am scatter-brained * i.e. I forget or lose things easily.,我是慌慌張張的人，我很容易忘記或遺失東西,
,,,Masiwala kako.　Caay ka fana' kako to lalan.,I am mixed up. I don't know the road.,我迷惘，不知該走那一條路,
siwar,to move or change the position of,轉動，改變位置,Siwaren konini a cokoi.,Move this table a little.,稍微移動桌子，把桌子移動一下,
,,,Masiwar ko cidal.,The sun has changed position in rising (as when the seasons change).,太陽已改變位置了 (如當換季時),
siwasiw,to separate the grain from the chaff,用篩子篩選,,,,
,to sort * separate into groups or kinds,分等級，分類團體或種類,,,,
siwatid,aloof * to not take part with the group * to stay by oneself,遠離，離開，沒有跟團體一起，把持自己的意念,,,,siwatik
siwatik,aloof * to not take part with the group * to stay by oneself,遠離，離開，不與團體一起，不參加團體※孤居,,,,siwatid
siwit,to slant * set at an angle * off course,歪，傾斜，歪斜，放置釣鉤；方向歪了,Masiwit ko piteli nira.,He set it down slanted.,他放的斜歪了,
siwni,a nun * a sister * a Catholic woman committed to celibacy in serving God (from Chinese),尼姑，修女，天主教修女 (引自國語),,,,
siyam,grass used to make mats and baskets,草可用來做草蓆和簍筐,,,,faho
siyokeng,large earthen storage container for water (from Amoy dialect),大水缸 (引自閩南語),,,,
siyop,to swoop in flight,從高處飛下來猛撲 (如老鷹攫取小雞時),,,,
siyor,to turn around * change direction,旋轉，回頭，轉向，改變方向,yoren ko rakat iso.,Turn your direction of movement.,移動你的方向,
,,,yoren ko faloco' iso.,Repent.,後悔，懊悔,
smla',Refer to misasela',詳見 misasela',,,,misasela'
so'ac,to brush * clean with a brush,洗刷，用刷子清洗,So'acen ko wadis iso.,Brush your teeth.,去刷你的牙齒,
so'aw,to be thirsty,口渴,,,,
so'elin,genuine * real,誠實，真的，實在的,O so'elinay a demak konini.,1. This thing really happened.  2. This is the way that activity is / the nature of the activity.,1. 這是真實的事情  2. 這個活動是自然活躍的動作 (FIXME),
,TRUE,真實,O so'elinay a sowal konini.,These are true words.,這些話的確是真的,
,,,So'elinay mafana' cingra haw?,Does he really know?,他真的知道嗎？,
,sincere,忠誠,So'elinay ko faloco' noya tamdaw.,That person is sincere / faithful.,那個人很忠厚,
,norm * standard,切實的，標準的,Onini ko so'elinay.,This is the standard / norm.,這是很標準的,paso'elin
so'ol,to melt as a candle melts,鐵生鏽 (FIXME),,,,
,to dissolve,使溶解，使分解,,,,so'or
so'or,water from rain * rain water,雨水,,,,
,to melt,溶化，溶解,Malaso'or to koya soreda.,The ice has melted.,冰雪溶化了,
,to dissolve,溶解，分解，氧化,Malaso'or to ko waneng i ngoyos nira.,The sugar dissolved in his mouth.,他嘴裡的糖溶化了,lasinol
so'ot,a bundle of one hundred,捆一百個,na a so'ot ko aalaen?,How many hundred should we take?,我們要拿幾百個？,
,,,Semo'ot aca ko aalaen ita.,We should take just one hundred.,我們只要拿一百個,
,to bundle,捆綁,So'oten ko panay.,Bundle the grain.,把稻草捆起來,
,to tie up,打結,So'oten ko waco.,Tie the dog up.,把狗拴起來,
,,,So'oten ko fokes.,Tie your hair back.,把頭髮綁成馬尾,
,,,Kinaso'ot cingra a kinapatay.,He killed himself by hanging.,他上吊自殺,
,to bind,繫結,,,,
,imprison with cords,坐牢,So' oten ko mari'angay a tamdaw.,Tie up / imprison in cords the criminal.,把壞人關起來，把罪犯逮捕法辦,
so'so',to drip * drain water off of,滴，把水滴滴下，把水濾乾,liso'so'en koya riko' a mipawali.,Hang those clothes up dripping to dry.,把那些衣服拿出去曬使之濾乾,sa'sa'
so^da,ice * snow,冰雪,,,,"solda, so^da"
so^so,to be fat * plump,胖，豐滿,so^so ko kolong iso.,Your water buffalo is fat.,你的水牛很肥大,
,to be healthy,很健康，肥壯，健壯,so^so ko kolong iso.,Your water buffalo is healthy.,你的水牛很健壯,
sodoc,to draw * pull out * referring to a weapon,抽拉，拉出，如武器，拔出,,,,hodoc
sodod,to yield * give in,退讓，給予，容許，允准,,,,sorar
sodsod,to give secretly and gradually over a period of time * being afraid to give all at once,在一段時間內悄悄地給付一點一點的給，或因恐懼而立即付清 (FIXME),Pasodsod han nira ko pipafeli to payso.,He gradually and secretly gave money.,他暗中悄悄地以金錢施予,
soemet,to dampen * to be damp,潮濕,Pasoemeten ko riko' ta miaylong.,Dampen the clothes for ironing.,衣服灑點水使之潮濕再燙,
,,,Masoemet ko sera.,The ground is damp.,地面潮濕，土壤潮濕,
,,,Masoemet ko faloco' nira.,His heart is gentle.,他的性情很溫和,
sofac,to lengthen,拉長，延長,,,,
sofal,territory * district * valley * region,領土，地區，鄉村，領域，地帶,,,,
sofitay,soldiers * military,士兵，軍人,Malasofitay ko wawa ako.,My son is in the army.,我的孩子被徵召服役,
sofoc,to give birth to,出生,,,,
,to lay an egg,蛋,,,,"hofoc, kasofocan"
sofok,a woven bag used as a backpack,用麻繩製作成的背袋,,,,
sofoy,to slacken * to release the tension,鬆脫，鬆弛,Masofoy koya towaso.,That rope is slack.,繩子鬆了,"sefay, refay"
soikor,to look behind,向後看,,,,
,to go backwards,走反向道，向後走,Misoikorho kako a minokay.,I have to go back home for a minute.,我須先回家一下,siikor
,,,Aka pisoikor a minengneng.,Don't look back.,不要向後看,
soka',Refer to hoka',詳見 hoka',,,,hoka'
sokap,Refer to hokap,詳見 hokap,,,,hokap
soked,to shrink * referring to cloth,收縮，縮小,,,,
sokelet,to tie a string or rope loosely so that it can be easily untied * to make a slip knot,用繩子捆綁，綁活結,,,,sokelot
sokelot,Refer to sokelet,詳見 sokelet,,,,sokelet
sokir,(of water) to carry along things in its path,刮，削，刮掉那黏在皮膚上的東西,,,,
sokiwat,to use an instrument to get hold of something big,"抓物之用具, 鉤子",,,,
,as contrasted with kiwat where a small instrument is used,如比照其用法，kiwat 是用來攫取小東西,,,,kiwat
soko,a storage building for implements or food or other valuables (from Japanese),存有價值東西的倉庫，倉庫 (引自日語),,,,
sokon,Common Fig tree and its fruit,無花果樹和果子,,,,
,Ceylon Olive tree (Elaeocarpus serratus) for ornament and fruit,橄欖樹,,,,
,Formosan Eupatorium * common wild plant found along roads and on hills,闊葉植物，一般生長在路上或山上的野樹,,,,
,a wrap around double skirt,包纏在四周的兩片裙,,,,talip
sokoy,the name of a wild edible vegetable,苦瓜 (蔓藤類),,,,kakorot
solac,a tree * Fiscus ampelas Burm,金瓦榕,,,,
solap,to investigate * find out the facts,巡視，探測,,,,
,to spy * work under cover,奸諜 (在暗地裡偵察),O misolapay a tamdaw cingra.,He is an undercover man / spy.,他是地下工作人員/奸諜,
solasol,masturbation for sexual gratification,自瀆，手淫,,,,
solek,a method of crossing two pieces of wood and attaching toeach other,兩塊木頭相互附着的方式 (成十字形),,,,
solimet,to arrange * put in order things that are lying around,把散亂的東西整理妥當,,,,
,to prepare,預備，準備,,,,losimet
solinga',to do perfectly * well and completely,完整，有秩序的，完全，圓滿的,Masolinga' ko faloco' noya tamdaw.,That person's heart is at ease / has wholeness.,那個人的心情很安逸,songila
,,,Solinga'en ko na'ang tonini a tilid.,Put this writing away in complete order.,把這本書收藏好,
,,,Papisolinga'en cingra to tayal nira.,Make him do his work well and completely.,叫他徹底的做好他的工作,
solipa,sandals (from Japanese),拖鞋 (引自日語),,,,
solol,to slide down,使滑的，溜過,Sololen ko kilang a talalaeno.,Slide the log down hill.,把圓木順著斜坡滾滑到下面,
,to forgive,赦免，寬恕,Sololen ko patelac ako.,Forgive me for my mistake.,原諒我的過錯,hepol
solomaing,to have no strength,軟弱無力,,,,"wmi', taloming"
solot,to pull * draw something literally,拉，牽，喻拉東西,Soloten ko paliding.,Pull the wagon.,拉運貨馬車,
,to attract * exert influence on,吸引，引誘，使影響感化,Masolot nira ko faloco' ako.,He has influenced me.,他感化我的心，我的心被他影響,
,,,O koesanay a sowal nira ko sapisolot nira toya fafahiyan.,He used polished speech to attract that woman.,他用甜言蜜語引誘那女孩,
soloy,semen,精液,,,,
solsol,to thread through holes and draw as to run a drawn string through holes,串連，如把有洞的東西串連在一起,,,,
,to string together,串在一起,Solsolen  Atam ko papah no kilang a nga' to talip.,Adam made an apron of fig leaves.,亞當把樹葉編串成裙子,
somad,feelings of sadness * mixed feelings,傷心，悲傷；混亂,"Yo paka'araw kako to ina nira i, masomad ko faloco' ako.",When I saw his mother I had sad mixed up feelings.,當我看到他母親的時候，我心裡很難過,'iwil
,to change,改變，轉變，變化，悔改,lisomaden ko faloco'.,Change your attitudes.,你要改邪歸正，你要悔改,
sona,grandchild (from Amoy dialect),孫子 (引自閩南語),,,,
sonay,threadbare * cloth being well worn,穿舊衣服，陳腐，衣服很耐穿，耐用,,,,
songidet,to throw away mucus from the nose,擤鼻涕,,,,
songila',to do perfectly completely and well,完全的，圓滿的,Caay ko masongila'ay a tamdaw kita.,We people are not perfect.,我們不是完全人,
,,,Songila'en ko tayal iso.,Do your work well and completely.,你的工作要做徹底,
,to do with dignity * in good order,高貴，以嚴正的態度做；良好秩序,Songila'en ko aro' iso.,Sit orderly.,你坐姿優雅一點,solinga'
songtol,to hit * crash * bump against,打擊，撞擊，碰撞,Aka pisongtol to romakatay i lalan.,Don't hit a pedestrian.,不要碰撞行路的人,
,,,sasongtol ko paliding nangra tatosa.,Their two vehicles hit each other.,他們的車子相互碰撞,
,,,pasongtol nira kako.,He forced me to hit someone.,他強迫我揍人,
soni,noise,喧噪聲,Sonien ko paliding iso.,Blow the horn of your vehicle.,按你車子的喇叭看看,
,sound,聲音,Matengil ako ko soni no 'edo.,I heard the sound of a rat.,我聽到老鼠的聲音,
,,,Tata'ang ko soni noya kikay.,That motor makes a lot of noise.,那個引擎的聲音很大,
,a time reference word,剛才,Ano soni ira ko wawa ako.,My child will be here soon.,待會兒我的孩子要來,honi
,,,Isoni ira cingra.,He came a little bit ago.,他剛剛才來的,
sonol,to drift * of a boat,漂流，漂浮，如小船,,,,
,to move from one place to another * usually with reference to water,從這個地方移動到另一個地方，浮起漂流，通常指水勢,,,,'alol
sonor,[No English description],[無中文解釋q,,,,masonor
soo',to put hand inside of something,把手伸進袋裡搜尋,Soo'en koya ofang.,Put your hand into that hole.,把手伸進洞裡搜尋,
sopa',to spit * spittle,吐 (唾沫，血等) 唾沫，唾液,Aka pisopa'.,Don't spit.,不要吐痰,tasopa'an
sopaliw,to change places　 * to be available for use in place of,交會；變換的地方,,,,tomaliw
sopay,to rub in order to remove dirt,揉擦得以拭掉污物,Pakasopay kiso to riko' ako?,Can you rub the dirt out of my clothing?,你能把我那件衣服的污垢除掉嗎？,
,,,Masopay ko 'oning no tireng.,My body has been rubbed clean.,我身上的污垢已洗乾淨了,
,,,Masopay ko faloco' ako.,My bad attitude has gone.,我已去邪歸正 (改過自新),
soped,to collect * gather together and keep,收集，儲存,Adihay ko nisopeden nira a payso.,He has amassed a lot of money.,他儲存了很多錢,
,,,Aka pisoped to riko'.,Don't collect a lot of clothes.,不要堆積很多衣服 (未洗的),
soperit,to strip grain off from the stalk,把餘留在稻草上的稻穗剝落乾淨,,,,haperic
sopsop,to gather together so there is more space on the outer perimeters * referring to people or things,集成一堆騰出周圍多餘的空間，指人群或東西,misopsop to tafokod,to draw the strings in a draw net,把漁網拉起來收縮面積,
sorar,to yield * give in * for the sake of unity,退讓，屈服，允准，容許，寬恕；為了利益的原故(FIXME),,,,sodod
sorita,octopus * eight-legged creature of the sea (from Japanese),章魚 (引自日語),,,,
sorot,to collect * gather dues from each person,收集，收集每一個人所繳付的費用,misorot to payso,collect money (as for a special project),收集金錢(如為特別的計劃),pasorot
soso',to let drip out,把水濾乾,lisoso'enho.,Drain it first.,烘乾,
,to put hand inside of something,把手把進口袋裡搜索,,,,soo'
sota',earth * dirt,汙泥,,,,
,mud,泥巴,Cisota' ko lalan anini.,The path is muddy at present.,現在馬路上全是泥濘,
,,,Aka pisalama to sota'.,Don't play with dirt / mud.,不要玩泥巴,
,land,土地，田地,Mi'aca kita to sota'.,We are buying land.,我們購買土地,sera
sotic,a species of tree * Sago Cycad (Cycas revoluta),蘇鐵,,,,
soto,dirt,污垢，污穢,,,,'oning
sowaf,to yawn,打哈欠,,,,
sowal,words,文字,Pasowal cingra to i faloco'ay nira.,He told / spoke what was in his heart.,他說出他內心的話,
,,,O nika somowal ko nga'ay.,You should speak.,你最好說出來,
,,,Masowal ako cingra.,I told her.,我已告訴他了,
,,,Masasowasowal kita.,Let's discuss with each other.,我們彼此商量吧？,
,,,O maan ko sasowalen iso?,What do you have to say?,你要說什麼？,
,,,Sapasowalan kako nikaorira caay ka sadak ko sasowalen.,I want to speak but the words don't come out.,我很想說出來，但是講不出來 (欲言猶止，有口難言),
,speech,演講，談話,,,,
,language,語言,O sowal no 'Amis konini.,This is Amis.,這是阿美族說的話,
,sayings * oracles,說話，口頭，格言,,,,
sowana,large green garlic (from Amoy dialect),蒜頭 (引自閩南語),,,,
sowapay,a sled,指農耕用的載物橇而言,,,,"sapay, selic"
sowasan,dog teeth - shaped metal pieces strung together to be shaken for music,青銅犬齒，排鈴在齒根部分緊結在一起，撞繫擺動時發出清脆的鈴聲,,,,
ta,a connective particle meaning and or then in quick time succession,文法連接詞或在短促的時間內迅速完成,,,,
ta'edip,to overlay * cover,覆蓋，舖，鍍,Pata'edipen nira ko cokoi to ekim.,He overlayed silver on the table.,他鍍銀在桌子上,
ta'elif,to pass by * to go on beyond,越過，超過,Ta'elifen no paliding kako.,A vehicle passed me.,車子越過了我,
,,,Ira ko Pita'elifan a Lisin no Yotaya a tamdaw.,The Jews have a Passover feast.,猶太人有逾越節,
,,,Mata'elif to kita i lalan.,We passed each other on the road.,我們在路上互相交錯,
ta'eman,the name of an Amis village,長濱鄉胆曼部落村,,,,Ta'eman
ta'emod,to swallow whole without chewing,未經咀嚼就吞食食物 (囫圇吞下),,,,
ta'enangan,cornerstone * the main foundation stone,基石，隅石，石柱地基，房角石,,,,
ta'esel,to pierce through,穿越，深透，戳入,Ta'esel  ko pinengneng no was.,God sees through (to the inner parts).,上帝能看透我們的心,
,,,Mita'esel ko rinom nira to kifetolay a rafir.,His needle pierced through thick leather.,他的針能刺透厚皮,
ta'ing,"to swing one's head or hair, e.g., a water buffalo swings its head at its foe",水牛揮動頭角以嚇對方,,,,
,"to swing one's head or hair, e.g., a girl swings the hair out of her eyes",女孩揮動頭髮使不擋住眼睛,,,,
ta'is,to sew * by hand or with a machine,縫合，縫，用手或機器縫合,Mata'is no ina ako ko riko' ako.,My mother made my clothes.,我母親已縫製了我的衣服,tata'isan
ta'ong,to bow * showing respect,鞠躬，表示敬意,Maolah ko Ripon a tamdaw a mita'ong.,Japanese people like to bow a lot.,日本人善於點頭行禮,
,to salute * to nod to,敬禮，行禮,Ta'ongen ko singsi iso.,Show respect to our teacher (by some physical sign) .,向你的老師敬禮，你要尊敬你的老師,
,to worship,崇拜，敬拜，禮拜,O pita'ongan a romi'ad anini,This is a day of worship.,今天是主日禮拜,
,,,O pita'ongan a loma' konini.,This is a place of worship / temple.,這是敬拜的殿,
,,,O tatapangan no citaneng ko pita'ong to was.,Fear / worship of God is the beginning of wisdom,敬畏神是智慧的開端,
ta'owak,to drink wine * gulp down,將酒一口吞飲而盡，把酒一口狼吞,,,,'owak
tada,"a covering, as a saddlle for a horse * a cushion for a chair",墊子，馬鞍，椅墊,,,,"patada, tatadaan"
tada-,a grammatical affix indicating a great amount of or a great degree of something in positive or negative forms,指文法上的附加詞表示肯定或否定形式的重大或東西的盛大程度,Tada maolah cingra to wawa nira.,He loves his child very very much.,他非常愛他的孩子,
,,,Tada o katalawan ko demak nira.,What he is doing is very frightening.,他的行為實在令人甚為害怕,
tadaekim,gold,黃金，金的，純金,,,,ekim
tadaemi,barley,大麥,,,,"emi, katoemi, kaloemi"
tadah,debt,債務，欠帳,Citadah kako to cecay a 'ofad a payso.,I am in debt / owe ten thousand dollars.,我有一萬元的債務,kiyam
,,,Patadah kako ngraan.,I let him be unknowingly in debt to me.,我讓他欠債 (借錢給他),
,,,Mitadah kako to payso ngraan.,I borrowed money from him.,我向他借錢,
tadamaan,great,極大,Tadamaan ko olah no was.,God's love is great,上帝的愛是很偉大的,
,wonderful,奇妙，美妙,,,,
,honorable * noble,可尊敬，正當,O tadamaanay a tamdaw cingra.,He is a noble / high ranking person.,他是偉大的人物,
,magnificent,莊嚴的，重要,Satadamaanen ko demak.,Make a big occasion of the thing / do it up fancy.,願你做大事，但願你的表現特殊,
,,,O tadamaanay a romi'ad konini.,This is a special day.,今天是很特別的日子,
,,,Tadamaanay ko pataheka nira.,He fixed a very special / magnificent meal for us.,他擺上很豐富的喜宴,
tadanca,weak * no strength,軟弱，虛弱,,,,
,not up to par * below standard,達不到要求，標準以下,Tadanca ko tireng ako.,I am not strong.,我的身體軟弱無力,
,,,Tadanca ko faloco' nira.,He is harassed / feels no courage.,他不斷的受外界攻擊困擾，感覺沒有勇氣,
,,,Tadanca ko tayal nira.,His work is below par.,他的工作能力差,
tadas,to be new,重新，換新，改新,,,,patadas
tadasiri,term used in the Bible for sheep,採用在聖經裡的綿羊,,,,siri
tadek,to eat directly out of the pan in which food is prepared * not using dishes,沒有把食物預備在盤子上直接從鍋中吃,,,,
,to help oneself to what is available * appropriate for oneself,通合於某人的方法幫助某人,,,,
,to do something directly,直接的做某事,Tadek han nira a somowal.,He spoke directly (to the person).,他直接了當的說 (對某人),
,,,Tadek  cingra a komaen i loma' niyam.,He eats at our house (without giving anything or working).,他(未付分文，未做半事)竟在我們家賴著吃,
tadekel,a chopping board,切菜板,,,,
tadekes,to speak directly to * scolding,直說，直接責備，毫不含蓄的譴責,patadekes a somowal,to speak bluntly,叱責,
tadem,grave * tomb,墳墓，埋葬,matadem to ko tireng nira.,He has been buried.,他的屍體已埋葬了,
,,,Tademen koya mapatayay.,Bury that dead person.,把死屍埋葬,
tadi'ec,to be next to * lean against,幾乎在一起，靠得很近,,,,
,to depend upon,依靠,Caay ko tatadi'ecen cingra.,He is not to be depended upon.,他是不能依靠的人,tadipi
,,,Cima ko pitadi'ecan iso anini?,Whom can you depend on at present?,你目前依靠誰？現在你能信任誰？,
,,,Matadi'ec no loma' nira ko loma' niyam.,His house is next to ours.,他家緊靠著我們的家,
tadimocok,a corner,角落，向隅,,,,lico'co
tadipi,to stay close to,靠近，依傍，依偎,"Tata'ang ko fali, saka tadipi  kako i 'ongcoy.",The wind is blowing hard so I stayed close to the huge rock.,風吹的很大，所以我靠在大石頭邊,tadi'ec
tadiwic,to be uneven in size or height,不平均，長短不一致，偏向,,,,tatiwid
tadiwid,to be uneven in size or height,不均勻的，長短不一致,,,,tadiwic
tado,an expression meaning what is the good of the fact that,其意義是指對事實什麼是好的指示,,,,
,to take what is available for oneself,做對某人有裨益的事,Tado o nika tayni iso. Awaay cingra.,It is too bad you came. He isn't here.,很可惜你來的不是時候，他不在,patado
,,,Ini ko kakaenen. Tado han a miala.,Here is food. Help yourselves.,這裡有食物，請便自己取用，不用客氣,
,,,Papipatadoen cingra to demak to saki wawa ako.,Have him take care of the matter for my child.,為了我孩子之事情，請他幫忙,
tadtad,to rip out * as the stitching in a seam * with literal and figurative meaning,縫合線扯裂，含字義與喻意的意思,Matadtad to ko keliw no riko' ako.,The stitching has come out of my clothes.,我衣服的縫線裂開,
,,,Tadtaden ko sowal no was a mipatala to sapakimad.,Analyze / dissect the scriptures in preparation for preaching.,為預備講道篇必須把聖經節充分了解及注釋,
taenek,a state of sitting or leaning on something that makes one uncomfortable,表坐着或傾斜時感到不舒服的狀態,Taenek to kako a maro'.,I am uncomfortable sitting. (probablysitting on something I am not aware of or am not supposed to be sitting on),我坐的很不舒服 (可能是因坐在並未事先知道的東西上面或困坐在不想坐的地方),
taengad,light * diffused without reference to the source,亮光，光明普照來並未指明其來源,Awaay to ko to'eman. ta'engad sato imatini.,It isn't dark anymore. It has turned light.,黑暗去了，黎明隨即而來,tadengal
,,,O ta'engaday to faloco' ita ko sowal no was.,The Word of God brings light to our hearts.,上帝的話帶給我們亮光,
,,,Taengad ko pising nira.,His face is alight / he is happy.,他的臉上充滿喜悅,
taeroran,billows * a blowing machine used to smelt iron,巨浪,,,,
tafa,to be pointed,尖銳,,,,cidem
tafa',to dam a stream,堵住河水,,,,sedef
tafad,a disembodied head gotten in headhunting or war,出草或打戰時所獵得的頭,Citafad cingra.,He got a head.,他獵得人頭,
tafak,tobacco (from English),烟絲 (引自英語),,,,"patafak, mitafak"
tafal,to have flesh cut * as by a knife or machete,割傷 (被刀割),,,,
tafalahan,garbage pit,垃圾堆，垃圾桶，垃圾場,,,,falah
tafalong,the name of an Amis village,花蓮縣光復鄉富田部落名,,,,Tafalong
tafedo',new leaves and shoots of growth coming out on a plant,菜心，嫩芽,,,,
tafesiw,to pass by without stopping,經過，行過，飛越不做絲毫停留,,,,
tafihaw,to feel deserted * as to suddenly be alone after having a lot of company,感覺孤單，寂寞；如與眾同伴盡歡而散後突然孤單的感覺,,,,tifahaw
tafo,to wrap up * to make a bundle,包裝，捆成一包,Tafoen ko codad iso a panokay.,Wrap up your books and take them home.,把書本包起來帶回家,patafoan
,,,Aka pitafo i faloco' iso to keter.,Don't keep anger in your heart.,不要把怨氣埋藏在心裡,
