source_id,record,sentence_id
Amis_207,GLOSBE_REVIEWED_ZHO_9310fd371eaea391,GLOSBE_ami_zho_TMEM_U000210
Amis_208,GLOSBE_REVIEWED_ZHO_2d06dd4efd48eb98,GLOSBE_ami_zho_TMEM_U000211
Amis_209,GLOSBE_REVIEWED_ZHO_060fc5d041a83658,GLOSBE_ami_zho_TMEM_U000212
Amis_210,GLOSBE_REVIEWED_ZHO_8fd4b8b2cb27e42d,GLOSBE_ami_zho_TMEM_U000213
Amis_211,GLOSBE_REVIEWED_ZHO_f37d9e5d260876a5,GLOSBE_ami_zho_TMEM_U000214
Amis_212,GLOSBE_REVIEWED_ZHO_6fc3d00b2cb0a841,GLOSBE_ami_zho_TMEM_U000215
Amis_213,GLOSBE_REVIEWED_ZHO_99049b9ac87a4543,GLOSBE_ami_zho_TMEM_U000216
Amis_214,GLOSBE_REVIEWED_ZHO_da8ca80db090cce5,GLOSBE_ami_zho_TMEM_U000217
Amis_215,GLOSBE_REVIEWED_ZHO_767b57aaf3ed9853,GLOSBE_ami_zho_TMEM_U000218
Amis_216,GLOSBE_REVIEWED_ZHO_ffd27048c6d69eab,GLOSBE_ami_zho_TMEM_U000219
Amis_217,GLOSBE_REVIEWED_ZHO_4ae1ad83be8b528f,GLOSBE_ami_zho_TMEM_U000220
Amis_218,GLOSBE_REVIEWED_ZHO_0162d3ecc3ca988d,GLOSBE_ami_zho_TMEM_U000221
Amis_219,GLOSBE_REVIEWED_ZHO_b10bbb7814d78c8e,GLOSBE_ami_zho_TMEM_U000222
Amis_220,GLOSBE_REVIEWED_ZHO_87c755b1014262d5,GLOSBE_ami_zho_TMEM_U000223
Amis_221,GLOSBE_REVIEWED_ZHO_bb5c2ae194c8ff62,GLOSBE_ami_zho_TMEM_U000224
Amis_222,GLOSBE_REVIEWED_ZHO_90d611971e192911,GLOSBE_ami_zho_TMEM_U000225
Amis_223,GLOSBE_REVIEWED_ZHO_a2e063f00c9f7058,GLOSBE_ami_zho_TMEM_U000226
Amis_224,GLOSBE_REVIEWED_ZHO_2132ba7741bc5d6b,GLOSBE_ami_zho_TMEM_U000227
Amis_225,GLOSBE_REVIEWED_ZHO_a4c0cefd4d19ef73,GLOSBE_ami_zho_TMEM_U000228
Amis_226,GLOSBE_STATIC_8014485d93f3db592c1a,GLOSBE_ami_zho_TMEM_U000001
Amis_227,GLOSBE_STATIC_1b1803bb4bd384a8348d,GLOSBE_ami_zho_TMEM_U000002
Amis_228,GLOSBE_STATIC_5fb93f4f5aa4fe965798,GLOSBE_ami_zho_TMEM_U000003
Amis_229,GLOSBE_STATIC_04e0a41f9522c2a31e2a,GLOSBE_ami_zho_TMEM_U000004
Amis_230,GLOSBE_STATIC_ff8854354dc77be4dc25,GLOSBE_ami_zho_TMEM_U000005
Amis_231,GLOSBE_STATIC_9fb888c7dd0c80ee4cc3,GLOSBE_ami_zho_TMEM_U000006
Amis_232,GLOSBE_STATIC_4a860a43d9ed667c0894,GLOSBE_ami_zho_TMEM_U000007
Amis_233,GLOSBE_STATIC_92d5126c2bf771b91dc6,GLOSBE_ami_zho_TMEM_U000008
Amis_234,GLOSBE_STATIC_09b2fae1e065d2319b48,GLOSBE_ami_zho_TMEM_U000009
Amis_235,GLOSBE_STATIC_bfb19eb5a892e4af5ce1,GLOSBE_ami_zho_TMEM_U000010
Amis_236,GLOSBE_STATIC_1ba1eac920589b2acdd9,GLOSBE_ami_zho_TMEM_U000011
Amis_237,GLOSBE_REVIEWED_ZHO_730c6b8c6fb0235d,GLOSBE_ami_zho_TMEM_U000012
Amis_238,GLOSBE_STATIC_3459aee58d9ab0d104a4,GLOSBE_ami_zho_TMEM_U000013
Amis_239,GLOSBE_STATIC_bdf7c3f5d353d50ad538,GLOSBE_ami_zho_TMEM_U000014
