output_path	video_id	source_path	source_sha256	source_bytes	audio_only_file	output_kind
XML/Atayal/20190407_Yutas_Wilang_di2duan_Sayun_MVI_1700_untranscribed.xml	ouG3UfTGO4s				20190407_Yutas_Wilang_di2duan_Sayun_MVI_1700_untranscribed.wav	audio_only
XML/Atayal/20190407_Yutas_Wilang_di3duan_kyokay_MVI_1701_yiwancheng.xml	7aKml120cEw	raw_scrape/20190407_Yutas_Wilang_第3段_kyokay_MVI_1701_已完成_7aKml120cEw.txt	9783833b596e71edebc9a80fe7d72f64189bc9d8d1342b8c2872c5cc1ff5938e	3582		transcript
XML/Atayal/20190407_Yutas_Wilang_di4duan_Lowsing_Watan_MVI_1702_yiwancheng.xml	CqEIppWVqU4	raw_scrape/20190407_Yutas_Wilang_第4段_Lowsing_Watan_MVI_1702_已完成_CqEIppWVqU4.txt	c0132193c4d6dd91abf7a7eba85248dfc7d1c6b47924a8d0a4b37d963a8c2e35	17629		transcript
XML/Atayal/20190407_Yutas_Wilang_di4duan_Lowsing_Watan_MVI_1702_yiwancheng_untranscribed.xml	CqEIppWVqU4				20190407_Yutas_Wilang_di4duan_Lowsing_Watan_MVI_1702_yiwancheng_untranscribed.wav	audio_only
XML/Atayal/20190407_Yutas_Wilang_di5duan_Lowsing_Watan_MVI_1703.xml	350G0spDLPk	raw_scrape/20190407_Yutas_Wilang_第5段_Lowsing_Watan_MVI_1703_350G0spDLPk.txt	4757e5a086e30dccb4e69a91dc622f84f999d89615feaddb47722ac06f1a5c32	1903		transcript
XML/Atayal/20190407_Yutas_Wilang_di5duan_Lowsing_Watan_MVI_1703_untranscribed.xml	350G0spDLPk				20190407_Yutas_Wilang_di5duan_Lowsing_Watan_MVI_1703_untranscribed.wav	audio_only
XML/Atayal/20200115_bufangwen_MVI_2297.xml	MDgFkh6HvgM				20200115_bufangwen_MVI_2297.wav	audio_only
XML/Atayal/20200115_bufangwen_MVI_2298.xml	UFqcS5t4D-M				20200115_bufangwen_MVI_2298.wav	audio_only
XML/Atayal/20200115_bufangwen_MVI_2299.xml	qoVb-A6IbS8				20200115_bufangwen_MVI_2299.wav	audio_only
XML/Atayal/20200115_bufangwen_MVI_2300.xml	j5MRt4Bkusc				20200115_bufangwen_MVI_2300.wav	audio_only
XML/Atayal/20200115_bufangwen_MVI_2301.xml	7boI97QH5Xc				20200115_bufangwen_MVI_2301.wav	audio_only
XML/Atayal/20200115_bufangwen_MVI_2302.xml	eGWymm6I5cA				20200115_bufangwen_MVI_2302.wav	audio_only
XML/Atayal/20200115_bufangwen_MVI_2303.xml	7ODoONfC89Q	raw_scrape/20200115_補訪問_MVI_2303_7ODoONfC89Q.txt	4b2e369dac068c061b917d758024aaf770076ba814c2ca607464c81278f3a7a0	997		transcript
XML/Atayal/20200115_bufangwen_MVI_2303_untranscribed.xml	7ODoONfC89Q				20200115_bufangwen_MVI_2303_untranscribed.wav	audio_only
XML/Atayal/20200115_bufangwen_MVI_2304.xml	NmIDzcsrMHg	raw_scrape/20200115_補訪問_MVI_2304_NmIDzcsrMHg.txt	898455ecc42828a1f874e7a61ec8727b3151ba5772e9099a028083834399b876	3699		transcript
XML/Atayal/20200115_bufangwen_MVI_2304_untranscribed.xml	NmIDzcsrMHg				20200115_bufangwen_MVI_2304_untranscribed.wav	audio_only
XML/Atayal/20200130_MVI_2271.xml	2RQSO4xJr2o				20200130_MVI_2271.wav	audio_only
XML/Atayal/20200130_MVI_2272.xml	jmes1hrda4Y				20200130_MVI_2272.wav	audio_only
XML/Atayal/20200130_MVI_2273.xml	nt1ZtaA4QlM	raw_scrape/20200130_MVI_2273_nt1ZtaA4QlM.txt	abb2e2e37a89b595812f2ae58467c5df55e2c30dafd15e43a7feca1a48c1384f	261		transcript
XML/Atayal/20200130_MVI_2274.xml	1aJ9cfv7ibg				20200130_MVI_2274.wav	audio_only
XML/Atayal/muqianxianzuozhepian_20160525_binkafeifangtan_Yutas_Wilang_muqianxianzuozhepian.xml	U9I0GGy_pz0	raw_scrape/目前先做這篇_20160525_濱咖啡訪談_Yutas_Wilang_目前先做這篇_U9I0GGy_pz0.txt	d487b1ce6aad2ff1cd26cde078201ee65064e9c763ebc31024f2dc022ea3cfe3	43368		transcript
XML/Atayal/muqianxianzuozhepian_20160525_binkafeifangtan_Yutas_Wilang_muqianxianzuozhepian_untranscribed.xml	U9I0GGy_pz0				muqianxianzuozhepian_20160525_binkafeifangtan_Yutas_Wilang_muqianxianzuozhepian_untranscribed.wav	audio_only
