ePark topic,audio path,lang,dialect,idx,id
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V6.mp3,Kavalan,Kavalan,34,30W_6
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V7.mp3,Kavalan,Kavalan,34,30W_7
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V8.mp3,Kavalan,Kavalan,34,30W_8
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V9.mp3,Kavalan,Kavalan,34,30W_9
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V10.mp3,Kavalan,Kavalan,34,30W_10
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V11.mp3,Kavalan,Kavalan,34,30W_11
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V12.mp3,Kavalan,Kavalan,34,30W_12
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V13.mp3,Kavalan,Kavalan,34,30W_13
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V14.mp3,Kavalan,Kavalan,34,30W_14
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V15.mp3,Kavalan,Kavalan,34,30W_15
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V16.mp3,Kavalan,Kavalan,34,30W_16
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V17.mp3,Kavalan,Kavalan,34,30W_17
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/34/sound/34_30_V18.mp3,Kavalan,Kavalan,34,30W_18
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/33/sound/33_4_V6.mp3,Truku,Truku,33,4W_6
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/20/sound/20_22_V16.mp3,Bunun,Tanqun_Bunun,20,22W_16
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/20/sound/20_22_V17.mp3,Bunun,Tanqun_Bunun,20,22W_17
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/20/sound/20_22_V18.mp3,Bunun,Tanqun_Bunun,20,22W_18
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/42/sound/42_17_V20.mp3,Yami,Yami,42,17W_20
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/42/sound/42_29_V16.mp3,Yami,Yami,42,29W_16
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/42/sound/42_29_V17.mp3,Yami,Yami,42,29W_17
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/6/sound/6_12_V10.mp3,Atayal,Sekolik_Atayal,6,12W_10
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/6/sound/6_12_V11.mp3,Atayal,Sekolik_Atayal,6,12W_11
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/8/sound/8_22_V16.mp3,Atayal,Wenshui_Atayal,8,22W_16
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/8/sound/8_29_V15.mp3,Atayal,Wenshui_Atayal,8,29W_15
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/21/sound/21_1_V4.mp3,Bunun,Luanqun_Bunun,21,1W_4
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/21/sound/21_6_V1.mp3,Bunun,Luanqun_Bunun,21,6W_1
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/31/sound/31_23_V2.mp3,Rukai,Maolin_Rukai,31,23W_2
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/13/sound/13_28_V13.mp3,Saisiyat,Saisiyat,13,28W_13
閱讀書寫篇,./ePark_3/5.閱讀書寫篇/5/sound/5_16_V1.mp3,Amis,Hengchun_Amis,5,16W_1
