page_index_zero_based,page_number_one_based,printed_page_number,thesis_section,raw_text_path,raw_text_sha256,rendered_image_path,rendered_image_sha256,char_count_pymupdf,char_count_pdfplumber,selected_extraction_method,has_numbered_examples,has_table,has_references,parse_status,parse_warnings
55,56,40,body,data/raw/page_text/page_0056.txt,a773841088ee3f41f64c3cf7beb1cc41a0ae2daef3bd7f63430387fcce77f860,data/raw/page_images/page_0056.png,467324e797e76d4da0610170eca1ea4d52de1ef4ad625eba6d5b98b5a0ea7b7e,1379,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
56,57,41,body,data/raw/page_text/page_0057.txt,efc5975ba4602a1f0723988fc4ffaaf4b9ae637e2ca5e739f94cfcf2580d7a6f,data/raw/page_images/page_0057.png,3e19dee046b809329fae5af7ee723e6e616d4a361b809cdb29d7bfc4a3992dd5,993,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
57,58,42,body,data/raw/page_text/page_0058.txt,b31d45811e83075c5cb22afe72b77f1ec82fc8a69d28ea6bc248a91a34dbeae2,data/raw/page_images/page_0058.png,bb4010645cffda5979f6332ff13140dfb6cba50443f90072c4639150f5a3a584,1187,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
58,59,43,body,data/raw/page_text/page_0059.txt,cd3d8684a5daf76df875d63769686edda7c7e966e10d990d1e7a9f380fa7fe46,data/raw/page_images/page_0059.png,d3812ed9dd82de7f3a05da2706807006750c25116edc20143b670592b8fafe68,1685,5311,pdftotext_layout,False,True,False,extracted,method_char_count_divergence
59,60,44,body,data/raw/page_text/page_0060.txt,0bb7e2bc57de61a158c826ef38cd59bf17ee58a538d4a4c2566ff11532cfe230,data/raw/page_images/page_0060.png,a0d19804834743569291ef277a5cd192563cd45251aaae84d6b5f0da4dd830ef,1335,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
60,61,45,body,data/raw/page_text/page_0061.txt,d0986b04a948b8a18e5d8422460671369fe74315ab03cdbe3d46531d77474782,data/raw/page_images/page_0061.png,1ba0e67ddbee9f35d4d0beffde97b27409bb19bb88c0de55f5e438d188c2ca6f,1220,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
61,62,46,body,data/raw/page_text/page_0062.txt,17e115027084862eee464b5651d91023ab11c146a23097f98851533bda0036ef,data/raw/page_images/page_0062.png,c9338e156cce9f174ed359693cf9faf12d0d235ca658863b9ca0ca3dd904b53c,1084,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
62,63,47,body,data/raw/page_text/page_0063.txt,524a01ccf286b561037885bd7709826d2007207314adb55afa64c762936877e5,data/raw/page_images/page_0063.png,ba0ac3409cb5483afc139b5882815b64d6093f2f1713a5f61885d0a53a4d71a3,1507,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
63,64,48,body,data/raw/page_text/page_0064.txt,b13523d25b192552369e55316c31ed466c1aa6aad252d4bdbb935b3483794cb4,data/raw/page_images/page_0064.png,fc4f6254b2f839bafc4cde4cc93c2b8fe57e2fa4e63f746e80996fbe31853856,1222,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
64,65,49,body,data/raw/page_text/page_0065.txt,88ee6ce121143044b969c0eb6c8b310dcb9bfc71f3dc3b592bb06b1453c5da13,data/raw/page_images/page_0065.png,d8defb464a14724612e4ac4511e2599b2c1570339f900cf2983164814d9446d0,1310,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
65,66,50,body,data/raw/page_text/page_0066.txt,8500908939ff1e60ce8fcba1de6c52e24f34bb843946c8bcd263d85dda09af48,data/raw/page_images/page_0066.png,f3581357080a8cf9ee85b8fae322e32f24e5980423a507b23914cb121a95bef6,1195,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
66,67,51,body,data/raw/page_text/page_0067.txt,f4a9e61fe2121ae7bb48b116a65f27940fed92c6a9be64e2fcfe4fd2180d1227,data/raw/page_images/page_0067.png,f0a4b9075e4d291450c931e8a8a940bd40767d6a370b9e9fac9480a0b6a62b9f,1434,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
67,68,52,body,data/raw/page_text/page_0068.txt,60b3b0547653078d7bd4e8351db1c79ee5a5d9abebca605d2a2a5e00d0d238b7,data/raw/page_images/page_0068.png,a4c3c5c25ec53e7a9b0f7e4b798af54ff1d844ce50edf1bc971e3b722c60c839,1254,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
68,69,53,body,data/raw/page_text/page_0069.txt,74c96b2a12f8bf379088a2d380b3424892a74b713b2d42be06338cbc70405cef,data/raw/page_images/page_0069.png,7bdab8ef4892e08e788af5ebe9571d445a9cb6835468b058a47eaa14dea2a40a,982,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
69,70,54,body,data/raw/page_text/page_0070.txt,2fca346db656187102ce806ac732e06a62df0dbb2829e511a770556d398e1a6e,data/raw/page_images/page_0070.png,c0f8291dca51ac2871ea7775d16a956f0e47f7822ac1f02e62fe8ba939557567,2,5311,pdftotext_layout,False,False,False,extracted,method_char_count_divergence
70,71,55,第三章 衍生構詞法,data/raw/page_text/page_0071.txt,b460276a2ba4f9d77be1d73fabf9a5fe5f95dd5ec020dbf108b44faf34ab87d0,data/raw/page_images/page_0071.png,582e5f2468619ccf00b85e4be6d232d8f9a74f9980fe7a10e32ae02153ebc633,1305,5311,pdftotext_layout,True,False,False,extracted,method_char_count_divergence
71,72,56,body,data/raw/page_text/page_0072.txt,94c266ac062e62fe9d8cf683d42de6e032a5c37c0a798ea069919acc36c305c8,data/raw/page_images/page_0072.png,8d2e623f55f2fb1228828eb7c3f57855d2f519e259302003ee3e39abcd8e149a,1356,5311,pdftotext_layout,False,True,False,extracted,method_char_count_divergence
72,73,57,body,data/raw/page_text/page_0073.txt,2fd4cfacd96c3d9027b50868dc0923944689d8d7da669e93382b3024bcb066ca,data/raw/page_images/page_0073.png,5f25dfa74a233536dcaec211abc215d2649362d9c64b1745daf1c0722ca5deed,1411,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
73,74,58,body,data/raw/page_text/page_0074.txt,a48b4f29011ad6a2b14b020ab49a1ac2ee1c51c3e57578dab9c0a1b9f7c62999,data/raw/page_images/page_0074.png,2a07c2127e11aca934c54d896ed8dbd12dc6f38151eceeb514e1f54d2bb3555d,1030,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
74,75,59,body,data/raw/page_text/page_0075.txt,f676ffb3131e4a1efe527ade28a68d432810eb09ba334efe76da159f83ae52ba,data/raw/page_images/page_0075.png,783cefb24bb8e62da4fa49a008d1ca0c7f104636b1fb8ca458607e4af5ebcd01,1289,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
75,76,60,body,data/raw/page_text/page_0076.txt,f0eb24fcad28fa2d618126ebb4b98d2ee01277e75a90669eb7e666e9b233cf8e,data/raw/page_images/page_0076.png,93ea835bc77ca1911dc268426e87fcfeb74187a3567ba9c1830b2e817f56e18b,1326,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
76,77,61,body,data/raw/page_text/page_0077.txt,9cf3d4ac9b6261ebda568d180ed000c02873137d5e6eb89eba20c75ccb73fb22,data/raw/page_images/page_0077.png,dd295d881e3835a2e57c759af21766ca74d2f78a4c3f14db60bd7a8357fbd7d2,1170,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
77,78,62,body,data/raw/page_text/page_0078.txt,6843274bcecf30ae6ed62aaff876e6a7f0b60f98fd590362010a4767b4594562,data/raw/page_images/page_0078.png,c4fcf7ece6c2b012525c625e71c784e8c0a4889f217a6a7a8b39262c53fbed2f,1254,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
78,79,63,body,data/raw/page_text/page_0079.txt,dfdb70295f671dc8137674d9394f3c241a6e7676d97ac660d64fcb6e06c84d95,data/raw/page_images/page_0079.png,994bfee7e4a98db95fc9f263d0e2ca48b71fa28f953908f4e9b5fb912c005d67,1394,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
79,80,64,body,data/raw/page_text/page_0080.txt,1a77c606088d071d02e5c6e8b37ffe276e787b275a9ed385441e1050364dc285,data/raw/page_images/page_0080.png,dd424d12c0dac306f75d061df9be525e03fbe42425d580b6d08e20f804d0e844,1256,5311,pdftotext_layout,True,True,False,extracted,method_char_count_divergence
