form	label	definition	cross_reference	headword	homograph	format	root_marker	etymology	sense	inferred	entry_page	sense_page
shan–tuktuk		trip, stumble and fall		tuktuk		B	colon		4		1011	1011
shan–tuktuk–ak	[LF1s]	I stumbled and fell		tuktuk		B	colon		5		1011	1011
shan–tuktuk–an	[LF]	was stumbled against, was the cause of stumbling		tuktuk		B	colon		6		1011	1011
tuktuku		edible black snail found in the fields and in the lake		tuktuku		A					1011	1011
kin–tuktuku		collect tuktuku snails		tuktuku		A			2		1011	1011
lh–tukus		walking stick, cane		tukus		B	bars	(PAN *tukud `prop up, support; walking stick')	2		1011	1011
lh–tukus–an	[PF]	walking stick		tukus		B	bars	(PAN *tukud `prop up, support; walking stick')	3		1011	1011
malh–tukus	[AF]	walk with a walking stick or cane		tukus		B	bars	(PAN *tukud `prop up, support; walking stick')	4		1011	1011
palh–tukus	[C]	use a walking stick or cane		tukus		B	bars	(PAN *tukud `prop up, support; walking stick')	5		1011	1011
pin–tukus–an		walking stick or cane		tukus		B	bars	(PAN *tukud `prop up, support; walking stick')	6		1011	1011
t–m–ukus	[AF]	walk with a walking stick or cane		tukus		B	bars	(PAN *tukud `prop up, support; walking stick')	7		1011	1011
tulshuq		Rhus succedanea L., fam. Anacardiaceae, a tree growing to a height of six to twelve meters in a broad umbrella shape, with numerous small branches. Its small yellowish-green flowers form rounded clusters, and its fruits, which look like flat seeds, change color from green to black. Its leaves, used in the manufacture of paint, contain a toxic sap which causes a rash when it comes into contact with the skin		tulshuq		A					1012	1012
tu–lhanaz		give a name to 1	lhanaz:4	tu–lhanaz		A					1012	1012
tu–lhanaz–an	[LF]	be named, given a name 1	lhanaz:5	tu–lhanaz–an		A					1012	1012
tulhaq		snore		tulhaq		A					1012	1012
t–m–ulhaq	[AF]	to snore; to grunt, as a pig		tulhaq		A			2		1012	1012
tulhaq–i	[I]	(don't) snore		tulhaq		A			3		1012	1012
tulhuk		catch fish by trapping them		tulhuk		A					1012	1012
ta–tulhuk	[IN]	kind of bamboo trap into which fish are pursued. It is shaped roughly like a cone, but has no means of blocking the fish from escaping, and so must he jerked up by hand when the fish enter		tulhuk		A			2		1012	1012
t–m–ulhuk	[AF]	catch fish by trapping them		tulhuk		A			3		1012	1012
tumazay		any of various ferns, Alsophila metteniana Hance; Alsophila podophylla Hook; Alsophila spinulosa (Hook) Tryon, fam. Cyatheaceae. The hair-like fibers on the trunk and branches of these plants was used as a poultice to stop bleeding		tumazay		A					1012	1012
tumbush		clothes louse		tumbush		A					1012	1012
kit–tumbush–in	[PF]	be infested with clothes lice		tumbush		A			2		1012	1012
tumbuz		rise up precipitously, as a cliff or escarpment		tumbuz		A					1012	1012
kalh–tumbuz		pile up into a heap		tumbuz		A			2		1012	1012
kun–ta–tumbuz	[AB/IT]	rise and fall precipitously, as mountains in a range		tumbuz		A			3		1012	1012
Tumi		female name		Tumi		A					1013	1013
tumpariuz		kind of clay jar about 50 cm. tall, with a smaller opening than the tahamish. It was used, among other things, to ferment rice		tumpariuz		A					1013	1013
tumpauri		slip and fall backward, as on a slippery surface		tumpauri		A					1013	1013
t–in–umpauri	[c]	slipped and fell backward		tumpauri		A			2		1013	1013
tumpiq		: 1		tumpiq		B	bars				1013	1013
ma–tumpiq	[S]	short or low in height		tumpiq		B	bars		2		1013	1013
pia–tumpiq	[C]	make something lower or shorter in height		tumpiq		B	bars		3		1013	1013
Tumpiq		female name, probably 2 a nickname based on the short stature of the person bearing it (wife of Sapan)		Tumpiq		A					1013	1013
Tumpú		name of a place (Bunun)		Tumpú		A					1013	1013
tumtum		beating of a drum, sound of a drumbeat		tumtum		A					1013	1013
k–m–ay tumtum	[AF]	beat a drum, play a drum		tumtum		A			2		1013	1013
ta–tumtum	[IN]	a drum		tumtum		A			3		1013	1013
ma–tun	[S]	be broken		tun		B	bars		2		1013	1013
shan–tun		to break, as a rope under tension		tun		B	bars		3		1013	1014
tu–na–nay		come here	nay:41	tu–na–nay		A					1014	1014
tuna–tuna	[IT]	strength 6	tunaw:	tuna–tuna		A					1014	1014
tu–na–tusi		go there	tusi:39	tu–na–tusi		A					1014	1014
tunaw		use to the utmost, try one's best or hardest		tunaw		A					1014	1014
ia–tunaw	[I]	(don't) try your hardest		tunaw		A			2		1014	1014
ma–tunaw	[S]	strong, as in ability to lift weights; to win (war, contest, money)		tunaw		A			3		1014	1014
pia–tunaw	[C]	try one's best or hardest, make every possible effort		tunaw		A			4		1014	1014
tunaw–in		be done with all one's strength or effort		tunaw		A			5		1014	1014
tuna–tuna	[IT]	strength		tunaw		A			6		1014	1014
Tunaway		a Thao dog name (for female dogs)		Tunaway		A					1014	1014
tunaway		small yellowish snail found in streams and in SunMoon Lake		tunaway		A					1014	1014
kin–tunaway		collect tunaway snails		tunaway		A			2		1014	1014
tunaw–in		be done with all one's strength or effort	tunaw:5	tunaw–in		A					1015	1015
tun–du		follow; obey; obedient, submissive; be right, go the right way	du:20	tun–du		A					1015	1015
ma–tuniqniq	[S]	noisy, not quiet		tuniqniq		B	bars		2		1015	1015
pa–tuniqniq	[C]	be noisy		tuniqniq		B	bars		3		1015	1015
t–un–rik	[AF]	to peck, as chickens fighting each other	trik:6	t–un–rik		A					1015	1015
t–un–rik–rik	[IT]	keep pecking at	trik:7	t–un–rik–rik		A					1015	1015
t–un–ruqu–ruquz	[AF/IT]	chisel at something; peck repeatedly, of birds	truquz:4	t–un–ruqu–ruquz		A					1015	1015
t–un–ruquz	[AF]	work with a chisel; peck at	truquz:5	t–un–ruquz		A					1015	1015
tunruquz		a kawi generic for woodpeckers, including the whitebacked woodpecker, Dencrocopus leucotos insularis (Gould), and the gray-headed green woodpecker, Picus canus tanoclo (Gould), fam. Picidae, nonmigratory birds of the broadleaf forest. In both species the male has a red crest and the female a black crest. Like woodpeckers in other parts of the world these birds are solitary or move in pairs, nesting in tree hollows, and moving up the sides of trees where they peck the bark in search of insects		tunruquz		A					1015	1015
tunu		pith? 1		tunu		A					1015	1015
punuq a tunu		brain		tunu		A			2		1015	1015
puqu a tunu		marrow of a bone		tunu		A			3		1015	1015
kay tunu		slap, beat, 2 thrash		tunu		A					1015	1015
kay tunu–an	[LF]	slap, beat, thrash		tunu		A			2		1015	1015
kay tunu–i	[I]	(don't) beat him		tunu		A			3		1015	1015
kay tunu–k	[PF1s]	I beat someone or something		tunu		A			4		1015	1015
kay tunu–n	[PF]	be beaten by someone		tunu		A			5		1015	1015
k–in–ay tunu	[PFc]	was beaten by someone		tunu		A			6		1015	1016
k–m–ay tunu	[AF]	to slap, beat, thrash		tunu		A			7		1015	1016
ma–kay tunu	[F]	will slap, will beat, will thrash someone		tunu		A			8		1015	1016
t–u–nun	[AF]	weave something	tnun:8	t–u–nun		A					1016	1016
tunuq		fall down, collapse		tunuq		A					1016	1016
mapa–un–tunuq	[R]	all fall over, all fall down together		tunuq		A			2		1016	1016
m–in–un–tunuq	[c]	fell down, collapsed		tunuq		A			3		1016	1016
mun–tunuq		fall down, collapse (person, house, tree); be bent to one side, as grass that has been pressed down for some time by a heavy object		tunuq		A			4		1016	1016
mun–tunu–tunuq	[IT]	fall over, collapse		tunuq		A			5		1016	1016
p–in–un–tunuq	[Cc]	felled, as a tree by chopping		tunuq		A			6		1016	1016
pun–tunuq	[C]	to fell, as a tree by chopping		tunuq		A			7		1016	1016
pun–tunuq–in	[C/PF]	be felled, be cut down by someone		tunuq		A			8		1016	1016
t–m–unuq	[AF]	push down, knock down		tunuq		A			9		1016	1017
tunuq–in	[PF]	be pushed down, knocked over		tunuq		A			10		1016	1017
un–tunuq	[I]	fall down, collapse		tunuq		A			11		1016	1017
kan tup		follow someone from a distance, as in spying on them, or tracking them		tup		B	bars		2		1017	1017
kan tup–ik	[PF1s]	I follow		tup		B	bars		3		1017	1017
kan tu–tup	[IT]	follow persistently		tup		B	bars		4		1017	1017
kan tu–tup–in	[PF/IT]	be followed doggedly by someone or something		tup		B	bars		5		1017	1017
k–in–an tup	[PFc]	was followed by someone		tup		B	bars		6		1017	1017
k–m–an tup	[AF]	follow, walk after someone or something		tup		B	bars		7		1017	1017
k–m–an tu–tup	[AF/IT]	persist in following, keep walking after		tup		B	bars		8		1017	1017
malhi–tup	[AF]	catch up with someone		tup		B	bars		9		1017	1017
palhi–tup		catch up with someone		tup		B	bars		10		1017	1017
tu–pilhnac–an	[LF]	be struck by lightning, be electrocuted	pilhnac:4	tu–pilhnac–an		A					1018	1018
tu–pilhnac–in	[PF]	be struck by lighting, be electrocuted	pilhnac:5	tu–pilhnac–in		A					1018	1018
tu–qa–qalhum		odor of a pangolin, smell of a pangolin	qalhum:2	tu–qa–qalhum		A					1018	1018
tu–qa–qaruta		odor of a civet cat, smell of a civet cat	qaruta:2	tu–qa–qaruta		A					1018	1018
tu–qa–qnuan		smell of a buffalo, odor of a buffalo, bovine scent	qnuan:4	tu–qa–qnuan		A					1018	1018
tuqar	[I]	(don't) call them; (don't) invite them		tuqar		A					1018	1018
t–in–uqar	[PFc]	was called, was hailed, was invited to come		tuqar		A			2		1018	1018
t–in–uqar–ik		I called		tuqar		A					1018	1018
tuqar	[PF1sc]	someone; I invited someone to come		tuqar		A			3		1018	1018
t–m–in–uqar	[AFc]	called to, hailed someone		tuqar		A			4		1018	1018
t–m–uqar	[AF]	call to, as in calling animals; hail a person; invite someone to come		tuqar		A			5		1018	1018
t–m–uqa–tuqar	[AF/IT]	call repeatedly, cluck, as a hen calling her chicks		tuqar		A			6		1018	1018
tuqar–ak	[1s]	I called, I invited		tuqar		A			7		1018	1018
tuqar–an	[LF]	be called, be hailed, be invited		tuqar		A			8		1018	1018
tuqar–i	[I]	(don't) call him; (don't) invite him		tuqar		A			9		1018	1018
tuqar–in	[PF]	be called or invited		tuqar		A			10		1018	1018
tuqash		elder (of people)?		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')			1018	1018
maki–tuqa–tuqash	[IT]	be old		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')	2		1018	1018
mashi–tan–tuqash		be older than another person; elder sibling, father's elder brother; elder person		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')	3		1018	1018
mashi–tan–tuqash a binanau'az azazak		eldest daughter		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')	3a		1018	1019
mashi–tan–tuqash a binanau'az minlhafut		elder sister; be older than another		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')	3b		1018	1019
mashi–tuqash		elder sibling, father's elder brother; elder person (variant of mashi–tan–tuqash)		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')	4		1018	1019
ma–tuqa–tuqash	[S/IT]	old, elder		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')	5		1018	1019
min–tuqa–tuqash	[IC/IT]	become old, grow old		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')	6		1018	1019
tana–tuqash		elders, ancestors, forefathers		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')	7		1018	1019
tan–tuqash (minlhafut)		elder sibling (m.s., w.s.)		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')	8		1018	1019
tan–tuqash a azazak		eldest child, first child		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')	9		1018	1019
tuqa–tuqash	[IT]	older people		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')	10		1018	1019
tuq–tuqash		parent-in-law; WF, WM, HF, HM; elders; senior in age, of people		tuqash		B	bars	(PAN *tuqaS `old; ma1 ture')	11		1018	1019
tuqash		primary forest with 2 large trees (like the Mt. Ali area); wilderness		tuqash		A					1019	1019
min–tuqash	[IC]	become primary forest, revert to primary forest through neglect (of formerly cultivated fields that are long abandoned)		tuqash		A			2		1019	1019
tu–qca		repeat, say again 3	qca:39	tu–qca		A					1019	1019
tuqic		earwax, cerumen		tuqic		A					1019	1019
ta–tuqlu	[IN]	lid, cover (as of a pot)		tuqlu		B	bars		2		1020	1020
t–m–uqlu	[AF]	to cover (as a pot)		tuqlu		B	bars		3		1020	1020
tuqlu–an	[LF]	be covered		tuqlu		B	bars		4		1020	1020
tuqlu–i	[I]	(don't) cover it		tuqlu		B	bars		5		1020	1020
tuqris		snare trap used to catch barking deer or wild boar		tuqris		A					1020	1020
mu–tuqris	[MV]	be caught in a snare trap, blunder into a snare trap		tuqris		A			2		1020	1020
t–in–uqris	[PFc]	was caught in a snare trap; a snare trap		tuqris		A			3		1020	1020
t–m–in–uqris	[AFc]	caught with a snare trap		tuqris		A			4		1020	1020
t–m–uqris	[AF]	catch with a nose trap		tuqris		A			5		1020	1020
tuqu		a prop or support		tuqu		A					1020	1020
t–m–in–uqu	[AFc]	propped up or open, supported		tuqu		A			2		1020	1020
t–m–uqu	[AF]	prop something up or open, support with a prop		tuqu		A			3		1020	1020
tuqu–an	[LF]	be propped up or open		tuqu		A			4		1020	1020
tu–quliush		length	quliush:8	tu–quliush		A					1020	1020
tu'a		meaning uncertain		tu'a		A					1020	1020
tu–ra–rusaw		smell of fish, odor of fish	rusaw:7	tu–ra–rusaw		A					1020	1020
turay		penis (polite term used in public situations)		turay		A		(PAN *tulay `penis')			1021	1021
ta–turtur	[IN]	a six-foot long wooden pestle used to pound out the dance rhythm at the Thao New Year ceremony. It was preferably made of pilhzaw wood, with shaza as the second choice		turtur		B	colon		2		1021	1021
t–m–in–urtur	[AFc]	pounded with a ta–turtur		turtur		B	colon		3		1021	1021
t–m–urtur	[AF]	pound with a ta–turtur		turtur		B	colon		4		1021	1021
turu		three		turu		A		(PAN *telu `three')			1021	1021
kun–turu–z		do something three times		turu		A		(PAN *telu `three')	2		1021	1021
la–turu		three		turu		A		(PAN *telu `three')	3		1021	1021
lhin–turu–z–in	[PF]	be divided into three parts		turu		A		(PAN *telu `three')	4		1021	1021
lhun–turu–z		do something three times		turu		A		(PAN *telu `three')	5		1021	1021
makalh–turu–turu		six		turu		A		(PAN *telu `three')	6		1021	1021
makalh–turu–turu a maqcin		sixty		turu		A		(PAN *telu `three')	7		1021	1021
makin–turu		third from the bottom		turu		A		(PAN *telu `three')	8		1021	1021
makin–turu–z		thirtieth from the bottom		turu		A		(PAN *telu `three')	9		1021	1021
mashi–turu–z		have three of something		turu		A		(PAN *telu `three')	10		1021	1021
ma–turu–z		thirty		turu		A		(PAN *telu `three')	11		1021	1021
mi–ta–turu	[IT]	do something together with two other people, act as a group of three		turu		A		(PAN *telu `three')	12		1021	1021
mu–makalh–turu–turu		six times		turu		A		(PAN *telu `three')	13		1021	1021
mu–turu–z	[MV]	three times		turu		A		(PAN *telu `three')	14		1021	1021
shi–turu–z–in	[PF]	three times		turu		A		(PAN *telu `three')	15		1021	1022
sh–m–i–makalh–turu–turu		six (in counting units of future time?)		turu		A		(PAN *telu `three')	16		1021	1022
sh–m–i–turu–z	[AF]	three times		turu		A		(PAN *telu `three')	17		1021	1022
shu–turu–z		do something three times, try something three times		turu		A		(PAN *telu `three')	18		1021	1022
shu–turuz–ik	[1s]	I did it three times		turu		A		(PAN *telu `three')	19		1021	1022
ta–ta–turu	[IT3]	three at a time		turu		A		(PAN *telu `three')	20		1021	1022
ta–turu	[IT]	three, of humans		turu		A		(PAN *telu `three')	21		1021	1022
ta–turu–ak		the three of you with me		turu		A		(PAN *telu `three')	22		1021	1022
turu–zan		three (in counting paces)		turu		A		(PAN *telu `three')	23		1021	1022
tu–saháy		over there (near addressee)	saháy:53	tu–saháy		A					1022	1022
tu–sa–sisi		smell of a goat, hircine odor	sisi:3	tu–sa–sisi		A					1022	1022
i–tusi	[L]	over there		tusi		B	bars		2		1022	1022
in–i–tusi	[Lc]	was over there		tusi		B	bars		3		1022	1022
ka–tusi		be over there		tusi		B	bars		4		1022	1022
ki–tusi		standing over there		tusi		B	bars		5		1022	1023
k–m–a–na–tusi–an	[AF/LF]	be made to go over there, be `struck' in that direction		tusi		B	bars		6		1022	1023
lhqa tusi		reside over there, in that place		tusi		B	bars		7		1022	1023
maka–tusi		begin over there		tusi		B	bars		8		1022	1023
maka–tusi–wan		begin over there		tusi		B	bars		9		1022	1023
makit–na–tusi		gradually cross over to a place		tusi		B	bars		10		1022	1023
maku–na–tusi		go, cross over to a place		tusi		B	bars		11		1022	1023
mana–tusi		over there, to that place		tusi		B	bars		12		1022	1023
masha–na–tusi		look over there, in the distance		tusi		B	bars		13		1022	1023
mati–na–tusi		move from the speaker's location to another place		tusi		B	bars		14		1022	1023
ma–tusi–k	[F/PF1s]	I will go there		tusi		B	bars		15		1022	1023
m–in–aka–tusi	[c]	came from that place		tusi		B	bars		16		1022	1023
mi–tusi		do something over there		tusi		B	bars		17		1022	1024
mun–tusi		pass someone from behind, overtake and pass someone moving in the same direction		tusi		B	bars		18		1022	1024
mun–tusi–wan		pass through a place on one's way to another destination		tusi		B	bars		19		1022	1024
mun–tu–tusi	[IT]	go over there		tusi		B	bars		20		1022	1024
mu–tusi	[MV]	go over there		tusi		B	bars		21		1022	1024
mu–tusi–wak	[MV1s]	I go over there		tusi		B	bars		22		1022	1024
mu–tu–tusi	[MV/IT]	go often or repeatedly over there		tusi		B	bars		23		1022	1024
pan–na–tusi		settle over there, in that place		tusi		B	bars		24		1022	1024
pasha–na–tusi		turn to that side over there		tusi		B	bars		25		1022	1024
pa–shau–na–tusi		to someone or something over there		tusi		B	bars		26		1022	1024
pun–na–tusi–n	[C/PF]	be made to go over there		tusi		B	bars		27		1022	1024
pun–tusi	[C]	move away		tusi		B	bars		28		1022	1024
pun–tusi–k	[C/PF1s]	I am going over there; I am making something go over there		tusi		B	bars		29		1022	1024
pun–tusi–n	[PF]	be taken over there		tusi		B	bars		30		1022	1025
pu–tusi	[I]	(don't) put it over there, (don't) take it away		tusi		B	bars		31		1022	1025
pu–tusi–n	[PF]	be put or taken over there, be taken away		tusi		B	bars		32		1022	1025
shan–na–tusi		go there		tusi		B	bars		33		1022	1025
shau–na–tusi		arrive there		tusi		B	bars		34		1022	1025
shi–tusi	[p]	went there		tusi		B	bars		35		1022	1025
shi–tusi–wak	[p1s]	I went there		tusi		B	bars		36		1022	1025
sh–m–an–na–tusi		see over there, observe over there		tusi		B	bars		37		1022	1025
sh–m–u–na–tusi		go or take to the other side		tusi		B	bars		38		1022	1025
tu–na–tusi		go there		tusi		B	bars		39		1022	1025
un–tusi–wan		let's pass through that place on our way (to some other destination)		tusi		B	bars		40		1022	1025
u–tusi	[I]	(don't) go there		tusi		B	bars		41		1022	1026
tu–suhúy		over there (not near addressee)	suhúy:32	tu–suhúy		A					1026	1026
tusuq		1 a leak, as in a roof or a container for liquids; dripping water		tusuq		A		(PAN *tuduq `leak, drip')			1026	1026
ma–tusuq	[F]	will drip		tusuq		A		(PAN *tuduq `leak, drip')	2		1026	1026
t–in–usuq	[PFc]	dripped		tusuq		A		(PAN *tuduq `leak, drip')	3		1026	1026
tusuq–in	[PF]	drip, of water from a leaking roof, be leaking		tusuq		A		(PAN *tuduq `leak, drip')	4		1026	1026
tusuq		stand up and speak, as a person at a meeting; to instruct, lecture (as to correct someone's behavior); mediate a conflict		tusuq		A		(PAN *tuzuq `point out, 2 indicate')			1026	1026
ma–tusuq	[F]	will instruct		tusuq		A		(PAN *tuzuq `point out, 2 indicate')	2		1026	1026
t–m–in–usuq	[AFc]	instructed, lectured		tusuq		A		(PAN *tuzuq `point out, 2 indicate')	3		1026	1026
t–m–usuq	[AF]	instruct, lecture, speak to someone in a manner intended to convey useful advice		tusuq		A		(PAN *tuzuq `point out, 2 indicate')	4		1026	1026
tusuq–i	[I]	(don't) instruct, (don't) mediate		tusuq		A		(PAN *tuzuq `point out, 2 indicate')	5		1026	1026
tusuq–ik	[PF1s]	I instruct		tusuq		A		(PAN *tuzuq `point out, 2 indicate')	6		1026	1026
tusuq–in	[PF]	be instructed		tusuq		A		(PAN *tuzuq `point out, 2 indicate')	7		1026	1026
tusha		two, in serial counting		tusha		A		(PAN *duSa `two')			1026	1026
kun–tusha		divide into two parts, as something being cut		tusha		A		(PAN *duSa `two')	2		1026	1026
la–tusha		two, in counting objects		tusha		A		(PAN *duSa `two')	3		1026	1026
la–tusha–tusha	[IT]	have two each		tusha		A		(PAN *duSa `two')	4		1026	1026
lhin–tusha–in	[PF]	be divided into two, as portions of something to be served		tusha		A		(PAN *duSa `two')	5		1026	1027
min–tusha	[IC]	become two; do together, do as a pair or couple		tusha		A		(PAN *duSa `two')	6		1026	1027
mi–ta–tusha		do something with someone else, perform an action together with one other person		tusha		A		(PAN *duSa `two')	7		1026	1027
pa–i–tusha–i	[C/I]	(don't) divide it into two		tusha		A		(PAN *duSa `two')	8		1026	1027
pak–tushá–n	[LF]	be divided into two (by someone)		tusha		A		(PAN *duSa `two')	9		1026	1027
pak–tusha–i	[I]	(don't) divide it into two		tusha		A		(PAN *duSa `two')	10		1026	1027
pak–tusha–ik	[PF1s]	I am dividing something into two parts		tusha		A		(PAN *duSa `two')	11		1026	1027
pak–tusha–in	[PF]	be divided into two, as portions of something to be served		tusha		A		(PAN *duSa `two')	12		1026	1027
pin–tusha	[C]	make into two parts		tusha		A		(PAN *duSa `two')	13		1026	1027
pin–tushá–n	[C/LF]	be made into two parts		tusha		A		(PAN *duSa `two')	14		1026	1027
ta–ta–tusha	[IT3]	two at a time		tusha		A		(PAN *duSa `two')	15		1026	1027
ta–tusha	[IT]	two, of people		tusha		A		(PAN *duSa `two')	16		1026	1027
tu–sha–shashu		foul smell, as from a pigsty 2	shashu:2	tu–sha–shashu		A					1028	1028
tu–sha–shibun	[IT]	to sweat, be sweaty, have a sweaty smell	shibun:5	tu–sha–shibun		A					1028	1028
tu–taraw–ik	[PF1s]	I poured it without restraint 2	taraw:6	tu–taraw–ik		A					1028	1028
tu–taraw–ik	[PF1s]	I treated someone severely 1	taraw:7	tu–taraw–ik		A					1028	1028
tu–taraw–in	[PF]	be treated severely 1	taraw:8	tu–taraw–in		A					1028	1028
tu–ta–takic		odor of a barking deer, smell of a barking deer	takic:3	tu–ta–takic		A					1028	1028
tu–ta–talhum	[IT]	odor of blood, smell of blood	talhum:4	tu–ta–talhum		A					1028	1028
tutu		breast 1		tutu		A		(PAN *susu `breast')			1028	1028
pa–tutu	[C]	to nurse (trans.), give the breast to		tutu		A		(PAN *susu `breast')	2		1028	1028
pa–tutu–n	[C/PF]	be nursed, of a child at the breast		tutu		A		(PAN *susu `breast')	3		1028	1028
pa–tutu–an	[C/LF/I]	nurse him		tutu		A		(PAN *susu `breast')	4		1028	1028
ta–tutu	[IT]	breasts		tutu		A		(PAN *susu `breast')	5		1028	1028
t–m–in–utu	[AFc]	nursed, sucked at the breast		tutu		A		(PAN *susu `breast')	6		1028	1028
t–m–utu	[AF]	nurse at the breast (intr.)		tutu		A		(PAN *susu `breast')	7		1028	1028
tutu–an	[LF]	to nurse		tutu		A		(PAN *susu `breast')	8		1028	1028
tutu–i	[I]	(don't) suck at the breast		tutu		A		(PAN *susu `breast')	9		1028	1028
kay tutu		crush it, press it down		tutu		B	colon	(PAN *tutuh `pound, crush 2 by pounding')	2		1029	1029
kay tutu–an	[LF]	be crushed, be struck a heavy blow		tutu		B	colon	(PAN *tutuh `pound, crush 2 by pounding')	3		1029	1029
k–m–ay ta–tutu	[AF/IT]	work a material by pounding, as in working iron		tutu		B	colon	(PAN *tutuh `pound, crush 2 by pounding')	4		1029	1029
k–m–ay tutu	[AF]	crush or press something down under a heavy weight		tutu		B	colon	(PAN *tutuh `pound, crush 2 by pounding')	5		1029	1029
mash–tutu	[AF]	press down with a heavy weight		tutu		B	colon	(PAN *tutuh `pound, crush 2 by pounding')	6		1029	1029
pash–tutu		crush something		tutu		B	colon	(PAN *tutuh `pound, crush 2 by pounding')	7		1029	1029
pash–tutu–an	[LF]	be crushed or pressed down by something heavy		tutu		B	colon	(PAN *tutuh `pound, crush 2 by pounding')	8		1029	1029
pash–tutu–i	[CI]	(don't) crush it		tutu		B	colon	(PAN *tutuh `pound, crush 2 by pounding')	9		1029	1029
pash–tutu–n	[PF]	be crushed or pressed down by something heavy		tutu		B	colon	(PAN *tutuh `pound, crush 2 by pounding')	10		1029	1029
tutu–n	[PF]	is pounded, is crushed by pounding		tutu		B	colon	(PAN *tutuh `pound, crush 2 by pounding')	11		1029	1029
an–tutuan		container for something		tutuan		B	bars		2		1029	1029
an–tutuan sa ma–dahun		candy jar		tutuan		B	bars		2a		1029	1029
an–tutuan patash–an		book bag		tutuan		B	bars		2b		1029	1029
pu–tutuan		place to put something, container for something		tutuan		B	bars		3		1029	1029
pu–tutuan kamsia		sugar bowl		tutuan		B	bars		4		1029	1029
pu–tutuan patash–an		place to put books		tutuan		B	bars		5		1029	1029
pu–tutuan qtilha		salt shaker		tutuan		B	bars		6		1029	1029
tutut		a greenish sparrow-size bird that makes the sound `tuttut'. According to traditional belief anyone who imitates the call will have stomach problems		tutut		A					1029	1029
in–tutuz–in	[PFc]	were piled up by someone		tutuz		B	bars	(PAN *susuN `stack up, pile up')	2		1029	1029
makin–tutuz		gather together,		tutuz		B	bars	(PAN *susuN `stack up, pile up')			1029	1029
tutuz		collect in one place		tutuz		B	bars	(PAN *susuN `stack up, pile up')	3		1029	1029
pakin–tutuz		stack up, pile up in stacks		tutuz		B	bars	(PAN *susuN `stack up, pile up')	4		1029	1030
pakin–tutuz–i	[I]	(don't) stack them up		tutuz		B	bars	(PAN *susuN `stack up, pile up')	5		1029	1030
pakin–tutuz–in	[PF]	be stacked up, be put in a pile		tutuz		B	bars	(PAN *susuN `stack up, pile up')	6		1029	1030
p–in–a–ka–kin–tutuz–in		[C/IT/ PFc] was/were stacked up or piled together		tutuz		B	bars	(PAN *susuN `stack up, pile up')	7		1029	1030
p–in–a–kin–tutuz	[C/PFc]	caused to be stacked or piled together		tutuz		B	bars	(PAN *susuN `stack up, pile up')	8		1029	1030
tuza		generic for freshwater eels apart from the paddy eel (fraq), fam. Anguillidae; kind of eelshaped rice cake made during the Thao New Year ceremony Lus'an		tuza		A		(PAN *tuNa `freshwater eel')			1030	1030
pash–tuzá–n	[LF]	kind of wicker eel cage made of kruzi suspended in the water next to a boat and used to keep one's catch alive until returning to shore		tuza		A		(PAN *tuNa `freshwater eel')	2		1030	1030
pin–tuzá–n		made rice eels		tuza		A		(PAN *tuNa `freshwater eel')	3		1030	1030
pun–ta–tuza	[IT]	trap eels		tuza		A		(PAN *tuNa `freshwater eel')	4		1030	1030
pun–tuzá–n	[LF]	bamboo eel trap		tuza		A		(PAN *tuNa `freshwater eel')	5		1030	1030
tuzuk		repair a fish net, basket, etc.		tuzuk		A					1030	1030
t–in–uzuk	[PFc]	was repaired, of a fish net, etc.		tuzuk		A			2		1030	1030
t–m–in–uzuk	[AFc]	repaired a fish net, etc.		tuzuk		A			3		1030	1030
t–m–uzuk	[AF]	to repair a fish net, basket, etc.		tuzuk		A			5		1030	1030
tuzuk–i	[I]	repair a fish net, etc.		tuzuk		A			6		1030	1030
tuzuk–in	[PF]	be repaired, of a fish net, etc.		tuzuk		A			7		1030	1030
Twapiná		a small Thao settlement some 14 km. from SunMoon Lake (Mandarin: Ta–p`ing–lin)		Twapiná		A					1030	1030
ua		yes, O.K., affirmative marker		ua		A					1031	1031
pu–ua	[C]	agree, affirm		ua		A			2		1031	1031
uan		ameliorative particle, marker 1 of request or polite imperative: please		uan		A					1031	1031
uan		still, continuing to be; yet 2		uan		A					1031	1031
Uan		male name 3		Uan		A					1031	1031
ũayũay		lowing, as of a carabao		ũayũay		A					1031	1031
man–ã–ũayũay	[IT]	to low continuously, as a carabao; call carabaos by imitating their lowing		ũayũay		A			2		1031	1031
u–azu–i	[I]	(don't) help me	azu:8	u–azu–i		A					1031	1031
u–cap	[I]	go do a favor for me	cap:8	u–cap		A					1031	1031
ucuc		suck, sip, smoke cigarettes		ucuc		A					1031	1031
