id,source_guids,status,note
Amis_0283a948-af0a-f011-bd65-00155db40116,0283a948-af0a-f011-bd65-00155db40116 c640b142-af0a-f011-bd65-00155db40116,active,
Amis_0284a948-af0a-f011-bd65-00155db40116,0284a948-af0a-f011-bd65-00155db40116 45ef5e78-a130-f011-8fad-000d3a8250a0 733cb142-af0a-f011-bd65-00155db40116,active,
Amis_0285a948-af0a-f011-bd65-00155db40116,0285a948-af0a-f011-bd65-00155db40116,active,
Amis_0287a948-af0a-f011-bd65-00155db40116,0287a948-af0a-f011-bd65-00155db40116 b013cb00-af0a-f011-bd65-00155db40116,active,
Amis_02caa14e-af0a-f011-bd65-00155db40116,02caa14e-af0a-f011-bd65-00155db40116 a017cb00-af0a-f011-bd65-00155db40116,active,
Amis_02cfa14e-af0a-f011-bd65-00155db40116,02cfa14e-af0a-f011-bd65-00155db40116 d913cb00-af0a-f011-bd65-00155db40116,active,
Amis_02d8d0fa-ae0a-f011-bd65-00155db40116,02d8d0fa-ae0a-f011-bd65-00155db40116,active,
Amis_02d9d0fa-ae0a-f011-bd65-00155db40116,02d9d0fa-ae0a-f011-bd65-00155db40116,active,
Amis_02dbd0fa-ae0a-f011-bd65-00155db40116,02dbd0fa-ae0a-f011-bd65-00155db40116,active,
Amis_02dcd0fa-ae0a-f011-bd65-00155db40116,02dcd0fa-ae0a-f011-bd65-00155db40116,active,
Amis_02e3e712-af0a-f011-bd65-00155db40116,02e3e712-af0a-f011-bd65-00155db40116,active,
Amis_02e64090-a130-f011-8fad-000d3a8250a0,02e64090-a130-f011-8fad-000d3a8250a0,active,
Amis_0303b93c-af0a-f011-bd65-00155db40116,0303b93c-af0a-f011-bd65-00155db40116,active,
Amis_030f9a54-af0a-f011-bd65-00155db40116,030f9a54-af0a-f011-bd65-00155db40116 42179a54-af0a-f011-bd65-00155db40116 5b0f9a54-af0a-f011-bd65-00155db40116 7f119a54-af0a-f011-bd65-00155db40116,active,
Amis_03109a54-af0a-f011-bd65-00155db40116,03109a54-af0a-f011-bd65-00155db40116,active,
Amis_0310cb00-af0a-f011-bd65-00155db40116,0310cb00-af0a-f011-bd65-00155db40116 df5dc306-af0a-f011-bd65-00155db40116,active,
Amis_0311cb00-af0a-f011-bd65-00155db40116,0311cb00-af0a-f011-bd65-00155db40116,active,
Amis_0312cb00-af0a-f011-bd65-00155db40116,0312cb00-af0a-f011-bd65-00155db40116,active,
Amis_0313cb00-af0a-f011-bd65-00155db40116,0313cb00-af0a-f011-bd65-00155db40116,active,
Amis_03149a54-af0a-f011-bd65-00155db40116,03149a54-af0a-f011-bd65-00155db40116 7c0f9a54-af0a-f011-bd65-00155db40116 95149a54-af0a-f011-bd65-00155db40116,active,
Amis_0314cb00-af0a-f011-bd65-00155db40116,0314cb00-af0a-f011-bd65-00155db40116,active,
Amis_03159a54-af0a-f011-bd65-00155db40116,03159a54-af0a-f011-bd65-00155db40116 160f9a54-af0a-f011-bd65-00155db40116 41149a54-af0a-f011-bd65-00155db40116 69169a54-af0a-f011-bd65-00155db40116,active,
Amis_0315cb00-af0a-f011-bd65-00155db40116,0315cb00-af0a-f011-bd65-00155db40116,active,
Amis_03169a54-af0a-f011-bd65-00155db40116,03169a54-af0a-f011-bd65-00155db40116 23149a54-af0a-f011-bd65-00155db40116 3a179a54-af0a-f011-bd65-00155db40116 f30f9a54-af0a-f011-bd65-00155db40116,active,
Amis_0316cb00-af0a-f011-bd65-00155db40116,0316cb00-af0a-f011-bd65-00155db40116,active,
Amis_03179a54-af0a-f011-bd65-00155db40116,03179a54-af0a-f011-bd65-00155db40116 050f9a54-af0a-f011-bd65-00155db40116 6b149a54-af0a-f011-bd65-00155db40116 9e169a54-af0a-f011-bd65-00155db40116 b9119a54-af0a-f011-bd65-00155db40116,active,
Amis_0317cb00-af0a-f011-bd65-00155db40116,0317cb00-af0a-f011-bd65-00155db40116 4860c306-af0a-f011-bd65-00155db40116,active,
Amis_0318cb00-af0a-f011-bd65-00155db40116,0318cb00-af0a-f011-bd65-00155db40116 9ecea14e-af0a-f011-bd65-00155db40116,active,
Amis_0319cb00-af0a-f011-bd65-00155db40116,0319cb00-af0a-f011-bd65-00155db40116,active,
Amis_031acb00-af0a-f011-bd65-00155db40116,031acb00-af0a-f011-bd65-00155db40116 6837ef0c-af0a-f011-bd65-00155db40116,active,
