source_s_id	output_s_ids	status	reason
S305_1	S305_1	included	source_record_preserved
S304_1	S304_1	included	source_record_preserved
S303_1	S303_1	included	source_record_preserved
S302_1	S302_1	included	source_record_preserved
S301_1	S301_1	included	source_record_preserved
S300_1	S300_1	included	source_record_preserved
S299_1	S299_1	included	source_record_preserved
S298_1	S298_1	included	source_record_preserved
S297_1	S297_1	included	source_record_preserved
S296_1	S296_1	included	source_record_preserved
S295_1	S295_1	included	source_record_preserved
S294_1	S294_1	included	source_record_preserved
S293_1	S293_1	included	source_record_preserved
S292_1	S292_1	included	source_record_preserved
S291_1	S291_1	included	source_record_preserved
S290_1	S290_1	included	source_record_preserved
S289_1	S289_1	included	source_record_preserved
S288_1	S288_1	included	source_record_preserved
S287_1	S287_1	included	source_record_preserved
S286_1	S286_1	included	source_record_preserved
S285_1	S285_1	included	source_record_preserved
S284_1	S284_1	included	source_record_preserved
S283_1	S283_1	included	source_record_preserved
S282_1	S282_1	included	source_record_preserved
S281_1	S281_1	included	source_record_preserved
S280_1	S280_1	included	source_record_preserved
S279_1	S279_1	included	source_record_preserved
S278_1	S278_1	included	source_record_preserved
S277_1	S277_1	included	source_record_preserved
S276_1	S276_1	included	source_record_preserved
S275_1	S275_1	included	source_record_preserved
S274_1	S274_1	included	source_record_preserved
S273_1	S273_1	included	source_record_preserved
S272_1	S272_1	included	source_record_preserved
S271_1	S271_1	included	source_record_preserved
S270_1	S270_1	included	source_record_preserved
S269_1	S269_1	included	source_record_preserved
S268_1	S268_1	included	source_record_preserved
S267_1	S267_1	included	source_record_preserved
S266_1	S266_1	included	source_record_preserved
S265_1	S265_1	included	source_record_preserved
S264_1	S264_1	included	source_record_preserved
S263_1	S263_1	included	source_record_preserved
S262_1	S262_1	included	source_record_preserved
S261_1	S261_1	included	source_record_preserved
S260_1	S260_1	included	source_record_preserved
S259_1	S259_1	included	source_record_preserved
S258_1	S258_1	included	source_record_preserved
S257_1	S257_1	included	source_record_preserved
S256_1	S256_1	included	source_record_preserved
S255_1	S255_1	included	source_record_preserved
S254_1	S254_1	included	source_record_preserved
S253_1	S253_1	included	source_record_preserved
S252_1	S252_1	included	source_record_preserved
S251_1	S251_1	included	source_record_preserved
S250_1	S250_1	included	source_record_preserved
S249_1	S249_1	included	source_record_preserved
S248_1	S248_1	included	source_record_preserved
S247_1	S247_1	included	source_record_preserved
S246_1	S246_1	included	source_record_preserved
S245_1	S245_1	included	source_record_preserved
S244_1	S244_1	included	source_record_preserved
S243_1	S243_1	included	source_record_preserved
S242_1	S242_1	included	source_record_preserved
S241_1	S241_1	included	source_record_preserved
S240_1	S240_1	included	source_record_preserved
S239_1	S239_1	included	source_record_preserved
S238_1	S238_1	included	source_record_preserved
S237_1	S237_1	included	source_record_preserved
S236_1	S236_1	included	source_record_preserved
S235_1	S235_1	included	source_record_preserved
S234_1	S234_1	included	source_record_preserved
S233_1	S233_1	included	source_record_preserved
S232_1	S232_1	included	source_record_preserved
S231_1	S231_1	included	source_record_preserved
S230_1	S230_1	included	source_record_preserved
S229_1	S229_1	included	source_record_preserved
S228_1	S228_1	included	source_record_preserved
S227_1	S227_1	included	source_record_preserved
S226_1	S226_1	included	source_record_preserved
S225_1	S225_1	included	source_record_preserved
S224_1	S224_1	included	source_record_preserved
S223_1	S223_1	included	source_record_preserved
S222_1	S222_1	included	source_record_preserved
S221_1	S221_1	included	source_record_preserved
S220_1	S220_1	included	source_record_preserved
S219_1	S219_1	included	source_record_preserved
S218_1	S218_1	included	source_record_preserved
S217_1	S217_1	included	source_record_preserved
S216_1	S216_1	included	source_record_preserved
