level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
4	1	48	0	0	0	222.480011	277.003489	18.571179	10.247634	-1	###LINE###
5	1	48	0	0	0	222.48	277.00	18.57	10.25	100	Engel
3	1	49	0	0	0	288.599991	277.003489	22.917269	10.247634	-1	###FLOW###
4	1	49	0	0	0	288.599991	277.003489	22.917269	10.247634	-1	###LINE###
5	1	49	0	0	0	288.60	277.00	22.92	10.25	100	Anglos
3	1	50	0	0	0	370.559990	277.003489	19.458397	10.247634	-1	###FLOW###
4	1	50	0	0	0	370.559990	277.003489	19.458397	10.247634	-1	###LINE###
5	1	50	0	0	0	370.56	277.00	19.46	10.25	100	Angel
3	1	51	0	0	0	453.599991	277.003489	3.796664	10.247634	-1	###FLOW###
4	1	51	0	0	0	453.599991	277.003489	3.796664	10.247634	-1	###LINE###
5	1	51	0	0	0	453.60	277.00	3.80	10.25	100	y
3	1	52	0	0	0	514.800018	277.003489	2.570308	10.247634	-1	###FLOW###
4	1	52	0	0	0	514.800018	277.003489	2.570308	10.247634	-1	###LINE###
5	1	52	0	0	0	514.80	277.00	2.57	10.25	100	-
3	1	53	0	0	0	74.879997	299.323496	24.158915	10.247634	-1	###FLOW###
4	1	53	0	0	0	74.879997	299.323496	24.158915	10.247634	-1	###LINE###
5	1	53	0	0	0	74.88	299.32	24.16	10.25	100	Vullum
3	1	54	0	0	0	147.240005	299.323496	32.019394	10.247634	-1	###FLOW###
4	1	54	0	0	0	147.240005	299.323496	32.019394	10.247634	-1	###LINE###
5	1	54	0	0	0	147.24	299.32	8.59	10.25	100	de
5	1	54	0	0	1	157.73	299.32	21.53	10.25	100	hemel
3	1	55	0	0	0	222.480011	299.323496	32.019394	10.247634	-1	###FLOW###
4	1	55	0	0	0	222.480011	299.323496	32.019394	10.247634	-1	###LINE###
5	1	55	0	0	0	222.48	299.32	8.59	10.25	100	de
5	1	55	0	0	1	232.97	299.32	21.53	10.25	100	hemel
3	1	56	0	0	0	288.599991	299.323496	24.158915	10.247634	-1	###FLOW###
4	1	56	0	0	0	288.599991	299.323496	24.158915	10.247634	-1	###LINE###
5	1	56	0	0	0	288.60	299.32	24.16	10.25	100	Vullum
3	1	57	0	0	0	370.559990	299.323496	25.970002	10.247634	-1	###FLOW###
4	1	57	0	0	0	370.559990	299.323496	25.970002	10.247634	-1	###LINE###
5	1	57	0	0	0	370.56	299.32	25.97	10.25	100	Heaven
3	1	58	0	0	0	453.599991	299.323496	3.796664	10.247634	-1	###FLOW###
4	1	58	0	0	0	453.599991	299.323496	3.796664	10.247634	-1	###LINE###
5	1	58	0	0	0	453.60	299.32	3.80	10.25	100	y
3	1	59	0	0	0	514.800018	299.323496	21.296870	10.247634	-1	###FLOW###
4	1	59	0	0	0	514.800018	299.323496	21.296870	10.247634	-1	###LINE###
5	1	59	0	0	0	514.80	299.32	21.30	10.25	100	vŭlŭm
3	1	60	0	0	0	74.879997	321.643480	49.401622	10.247634	-1	###FLOW###
4	1	60	0	0	0	74.879997	321.643480	49.401622	10.247634	-1	###LINE###
5	1	60	0	0	0	74.88	321.64	49.40	10.25	100	Attatillingagey
3	1	61	0	0	0	147.240005	321.643480	20.111441	10.247634	-1	###FLOW###
4	1	61	0	0	0	147.240005	321.643480	20.111441	10.247634	-1	###LINE###
5	1	61	0	0	0	147.24	321.64	20.11	10.25	100	sterre
3	1	62	0	0	0	222.480011	321.643480	20.111441	10.247634	-1	###FLOW###
4	1	62	0	0	0	222.480011	321.643480	20.111441	10.247634	-1	###LINE###
5	1	62	0	0	0	222.48	321.64	20.11	10.25	100	sterre
3	1	63	0	0	0	288.599991	321.643480	49.401622	10.247634	-1	###FLOW###
4	1	63	0	0	0	288.599991	321.643480	49.401622	10.247634	-1	###LINE###
5	1	63	0	0	0	288.60	321.64	49.40	10.25	100	Attatillingagey
3	1	64	0	0	0	370.559990	321.643480	13.012087	10.247634	-1	###FLOW###
4	1	64	0	0	0	370.559990	321.643480	13.012087	10.247634	-1	###LINE###
5	1	64	0	0	0	370.56	321.64	13.01	10.25	100	star
3	1	65	0	0	0	453.599991	321.643480	3.796664	10.247634	-1	###FLOW###
4	1	65	0	0	0	453.599991	321.643480	3.796664	10.247634	-1	###LINE###
5	1	65	0	0	0	453.60	321.64	3.80	10.25	100	y
3	1	66	0	0	0	514.800018	321.643480	37.954898	10.247634	-1	###FLOW###
4	1	66	0	0	0	514.800018	321.643480	37.954898	10.247634	-1	###LINE###
5	1	66	0	0	0	514.80	321.64	37.95	10.25	100	ătatalingey
3	1	67	0	0	0	74.879997	343.963488	39.643533	10.247634	-1	###FLOW###
4	1	67	0	0	0	74.879997	343.963488	39.643533	10.247634	-1	###LINE###
5	1	67	0	0	0	74.88	343.96	39.64	10.25	100	Magmoudo
3	1	68	0	0	0	147.240005	343.963488	52.499503	10.247634	-1	###FLOW###
4	1	68	0	0	0	147.240005	343.963488	52.499503	10.247634	-1	###LINE###
5	1	68	0	0	0	147.24	343.96	8.59	10.25	100	de
5	1	68	0	0	1	157.73	343.96	19.92	10.25	100	seven
5	1	68	0	0	2	179.67	343.96	20.07	10.25	100	sterre
3	1	69	0	0	0	222.480011	343.963488	52.499503	10.247634	-1	###FLOW###
4	1	69	0	0	0	222.480011	343.963488	52.499503	10.247634	-1	###LINE###
5	1	69	0	0	0	222.48	343.96	8.59	10.25	100	de
5	1	69	0	0	1	232.97	343.96	19.92	10.25	100	seven
