xml_path,validator_rule,action,element_tag,xml_id,field_tag,field_kind,before_sha256,after_sha256
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_33_W5,FORM,,5f6458bea6a7201aa8eb525f7a842a49e8afb06249940957988a18a9efc9dafd,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_33_W6,FORM,,e2b4ab72476f03dd44ccff1bb0c39601bc7609e5fda2821a1d444afe54db9545,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_38_W1,FORM,,7c1126ca8ab7f88a29fb5d163cd66dec6317893063004a89a2f21dd759a6c09a,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_79_W1,FORM,,48b7ff979922bfb66e264df29f623c28412627ce8f1a5babf9b96a239b28b28e,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_96_W2,FORM,,d5333245b5fdd3bfffb685fb95c1e580ad8fee32c094671366ee5ffe60c86bda,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_109_v1_W1,FORM,,8c68314cabd741a3ec298dee59b433ab922e2253a00f88d555cec31a3abcb89d,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_109_v2_W1,FORM,,15e4ba141caed7741774f2239af7237f28de891c20e381d4096587cd72e24a3e,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_122_v1_W2,FORM,,96374989bdfcb15fa0142f47a235b25ac45b85bdc06bfca22e444c39347e43f9,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_122_v2_W2,FORM,,9ef07aa87818032e673768aec53f5043dbc69ab593c300b10200f6332245d570,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_194_v1_W2,FORM,,7d7d657774b7eca42ad04858563d59d0f80d69d2be45661f3959c8b412245129,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_194_v2_W2,FORM,,4595209c780509d7cecf2ccf0fdbbfcf59c62f03b892a25bd08241de5effa274,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_207_v1_W5,FORM,,076fc7fe7e28179da795ba7a3434df48490526cf9cb5a04a7d1e55d6f04f2df1,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_207_v2_W5,FORM,,c42f075a57b344fb6bec0d32c97f2ca04fd792a19d0bf1fedb2577d129e04fdd,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_299_W1,FORM,,6a653245eaee97a7076eab0e71c1d4c10afd49836c52d4665f5baa9b7f6442a5,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,3_S_458_W4,FORM,,633f664bd886729259285008e7ce7492838fab1b1f5dab376f111c72dcc2faae,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,4_S_15_W0,FORM,,e69b45d8009a195b175b8caed0afa2bcb40cb3d79b100b20f3a2055a962fc153,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,4_S_50_W6,FORM,,4644bbed35cc51272faf027c9ba5b49455c668b39f1e0ce91e2a51b714145ea5,
Sentences/Kanakanavu/Kanakanavu.xml,V121,remove_annotated_lexical_unit,W,4_S_51_W0,FORM,,8dbb8ea4ba4124f5fc6eec71f35c403dd59b32be84b464aeb6cdef45cfa201b3,
