file,level,id,form_original,eng_gloss,zho_gloss,category
Stories/Amis/Amis_Amis_Nr-custom_Liu.xml,W,Amis_Nr-custom_Liu_S_38_W9,ma-mu<te'>tep,Ca-<RED>十,Ca重疊-<重疊>十,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Amis/Amis_Amis_Nr-custom_Liu.xml,M,Amis_Nr-custom_Liu_S_38_W9M3,mu-tep,十,十,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,W,KavNr-ancestor_buya_S_12_W0,izau-an-na=ti,leave.behind-LF-3PL.GEN=完成,留下-處焦-3PL.屬格=完成,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,M,KavNr-ancestor_buya_S_12_W0M4,ti,完成,完成,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,W,KavNr-ancestor_buya_S_33_W3,pasazui=ti,toward=完成,往=完成,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kavalan/Kavalan_KavNr-ancestor_buya.xml,M,KavNr-ancestor_buya_S_33_W3M2,ti,完成,完成,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kavalan/Kavalan_KavCon-angry_pilaw_abas.xml,W,KavCon-angry_pilaw_abas_S_110_W1,nayau,那樣,那樣,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kavalan/Kavalan_KavCon-angry_pilaw_abas.xml,M,KavCon-angry_pilaw_abas_S_110_W1M1,nayau,那樣,那樣,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kavalan/Kavalan_KavNr-map_buya.xml,W,KavNr-map_buya_S_0_W0,ci,NCM,Ncm,english-only glossing in source (no zh available)
Stories/Kavalan/Kavalan_KavNr-map_buya.xml,M,KavNr-map_buya_S_0_W0M1,ci,NCM,Ncm,english-only glossing in source (no zh available)
Stories/Kavalan/Kavalan_KavNr-map_buya.xml,W,KavNr-map_buya_S_25_W2,ci,NCM,Ncm,english-only glossing in source (no zh available)
Stories/Kavalan/Kavalan_KavNr-map_buya.xml,M,KavNr-map_buya_S_25_W2M1,ci,NCM,Ncm,english-only glossing in source (no zh available)
Stories/Kanakanavu/Kanakanavu_kkvNr-fishing_Muu.xml,M,kkvNr-fishing_Muu_S_11_W6M1,<um>,<AV>,<um>,echo gloss (source echo row; name/untranslated)
Stories/Kanakanavu/Kanakanavu_kkvNr-fishing_Muu.xml,W,kkvNr-fishing_Muu_S_16_W7,varʉvarʉ,鉛,鉛,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr-fishing_Muu.xml,M,kkvNr-fishing_Muu_S_16_W7M1,varʉvarʉ,鉛,鉛,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
Stories/Kanakanavu/Kanakanavu_kkvNr-fishing_Muu.xml,W,kkvNr-fishing_Muu_S_37_W5,ca-canumu,RED-water,CA-water,english-only glossing in source (no zh available)
Stories/Kanakanavu/Kanakanavu_kkvNr-fishing_Muu.xml,W,kkvNr-fishing_Muu_S_107_W1,ni-po-ringe=mia,PFV-CAU-trap=1EPL.屬格,完成-使役-陷阱=1EPL.屬格,eng gloss contains CJK (Mandarin-dominant glossers; ignore per maintainer)
