record_id,pair,source_phrase_clean,target_phrase_clean,action,reference_status,reason,ildrf_source_found,ildrf_reference_files,ildrf_chinese_glosses,glosbe_targets_for_source,mapping_evidence,xml_record_id,xml_target_text,xml_translation_ver,source_url,raw_path
GLOSBE_DICT_cc74ce9a61513ab2,"tay,en",amuy,powder,keep_in_xml,different_from_mapping,ildrf_source_attested_target_differs_from_mapping,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,女子名,flour; powder,女子名,GLOSBE_DICT_GROUP_358c7be7384c591c,powder,alt,https://glosbe.com/tay/en/amuy,data/raw/html/static/tay_en/amuy.html
GLOSBE_DICT_57d551d84ac7f006,"tay,en",ayang,oil,keep_in_xml,gloss_unmapped,ildrf_source_attested_gloss_unmapped,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,湯; 煤油,oil,,GLOSBE_DICT_GROUP_44ed794e942db095,oil,primary,https://glosbe.com/tay/en/ayang,data/raw/html/static/tay_en/ayang.html
GLOSBE_DICT_40dd1ea561ee063f,"tay,en",babaw knryax,afternoon,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,afternoon,,GLOSBE_DICT_GROUP_8d38970f683a97dc,afternoon,primary,https://glosbe.com/tay/en/babaw%20knryax,data/raw/html/static/tay_en/babaw%20knryax.html
GLOSBE_DICT_9a9cdb3cebd03fdc,"tay,en",babaw,on,keep_in_xml,gloss_unmapped,ildrf_source_attested_gloss_unmapped,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,上面,on,,GLOSBE_DICT_GROUP_d1fb28a8c6000851,on,primary,https://glosbe.com/tay/en/babaw,data/raw/html/static/tay_en/babaw.html
GLOSBE_DICT_0289714b2fc4447c,"tay,en",baq ske' 'tayal su ka?,Do you speak Atayal?,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,Do you speak Atayal?,,GLOSBE_DICT_GROUP_297f845c8c157f0a,Do you speak Atayal?,primary,https://glosbe.com/tay/en/baq%20ske%27%20%27tayal%20su%20ka%3F,data/raw/html/static/tay_en/baq%20ske%27%20%27tayal%20su%20ka%3F.html
GLOSBE_DICT_7f64d1ddfdd847aa,"tay,en",bazing,egg,keep_in_xml,gloss_unmapped,ildrf_source_attested_gloss_unmapped,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,蛋,egg,,GLOSBE_DICT_GROUP_fcac0999eaac80c6,egg,primary,https://glosbe.com/tay/en/bazing,data/raw/html/static/tay_en/bazing.html
GLOSBE_DICT_29f61ed930c06d11,"tay,en",behuy,wind,keep_in_xml,gloss_unmapped,ildrf_source_attested_gloss_unmapped,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,風,wind,,GLOSBE_DICT_GROUP_b77e1cdac73e169a,wind,primary,https://glosbe.com/tay/en/behuy,data/raw/html/static/tay_en/behuy.html
GLOSBE_DICT_50312c67dd144487,"tay,en",biacing,month,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,month; moon,,GLOSBE_DICT_GROUP_419c827846db079e,month,primary,https://glosbe.com/tay/en/biacing,data/raw/html/static/tay_en/biacing.html
GLOSBE_DICT_0ca81d69c98bd149,"tay,en",biacing,moon,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,month; moon,,GLOSBE_DICT_GROUP_419c827846db079e,moon,alt,https://glosbe.com/tay/en/biacing,data/raw/html/static/tay_en/biacing.html
GLOSBE_DICT_8c57629996295866,"tay,en",bilak,little,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,little; small,,GLOSBE_DICT_GROUP_c78decbc81ac4511,little,primary,https://glosbe.com/tay/en/bilak,data/raw/html/static/tay_en/bilak.html
GLOSBE_DICT_b413ef713d6e56ee,"tay,en",bilak,small,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,little; small,,GLOSBE_DICT_GROUP_c78decbc81ac4511,small,alt,https://glosbe.com/tay/en/bilak,data/raw/html/static/tay_en/bilak.html
GLOSBE_DICT_cbf644dab2259fe9,"tay,en",bingi',day,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,一天、一宿兒; 一宿兒,day,一天; 一宿兒; 一,GLOSBE_DICT_GROUP_47cba2352110738b,day,primary,https://glosbe.com/tay/en/bingi%27,data/raw/html/static/tay_en/bingi%27.html
GLOSBE_DICT_4618220dd1ece87d,"tay,en",blaq,good,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,好,good; well,好,GLOSBE_DICT_GROUP_9ebb89924211c895,good,primary,https://glosbe.com/tay/en/blaq,data/raw/html/static/tay_en/blaq.html
GLOSBE_DICT_e7ce16e62f82bd51,"tay,en",blaq,well,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,好,good; well,好,GLOSBE_DICT_GROUP_9ebb89924211c895,well,alt,https://glosbe.com/tay/en/blaq,data/raw/html/static/tay_en/blaq.html
GLOSBE_DICT_d3a87172f816d093,"tay,en",bling,orifice,keep_in_xml,target_supported_by_mapping,ildrf_source_attested_target_supported_by_mapping,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,山洞; 洞; 洞穴,orifice,山洞; 洞穴; 洞; 山,GLOSBE_DICT_GROUP_fda56da65495f1ef,orifice,primary,https://glosbe.com/tay/en/bling,data/raw/html/static/tay_en/bling.html
GLOSBE_DICT_ed0a51af4ba5ab36,"tay,en",blung,seed,keep_in_xml,gloss_unmapped,ildrf_source_attested_gloss_unmapped,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,裝置陷阱,seed,,GLOSBE_DICT_GROUP_f5336770d7ecb764,seed,primary,https://glosbe.com/tay/en/blung,data/raw/html/static/tay_en/blung.html
GLOSBE_DICT_affc0930e8f0d99e,"tay,en",bnaqii,gravel,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,gravel; grit; sand,,GLOSBE_DICT_GROUP_74a58ee6224e9704,gravel,primary,https://glosbe.com/tay/en/bnaqii,data/raw/html/static/tay_en/bnaqii.html
GLOSBE_DICT_ddb3469a6507d608,"tay,en",bnaqii,grit,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,gravel; grit; sand,,GLOSBE_DICT_GROUP_74a58ee6224e9704,grit,alt,https://glosbe.com/tay/en/bnaqii,data/raw/html/static/tay_en/bnaqii.html
GLOSBE_DICT_0cadcb00bc96037d,"tay,en",bnaqii,sand,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,gravel; grit; sand,,GLOSBE_DICT_GROUP_74a58ee6224e9704,sand,alt,https://glosbe.com/tay/en/bnaqii,data/raw/html/static/tay_en/bnaqii.html
GLOSBE_DICT_87d7bb4a94860287,"tay,en",bnkis,"ancestor, oldster",keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,"ancestor, oldster",,GLOSBE_DICT_GROUP_49dff88cb9c1c1e8,"ancestor, oldster",primary,https://glosbe.com/tay/en/bnkis,data/raw/html/static/tay_en/bnkis.html
GLOSBE_DICT_a56693bad231c90b,"tay,en",boluw,long bean,keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,long bean,,GLOSBE_DICT_GROUP_c66e4376d9d4672e,long bean,primary,https://glosbe.com/tay/en/boluw,data/raw/html/static/tay_en/boluw.html
GLOSBE_DICT_89ce1dad07c41541,"tay,en",bonaw,peanut,keep_in_xml,gloss_unmapped,ildrf_source_attested_gloss_unmapped,yes,Final_XML/Atayal/Dictionary_Atayal_tay.xml,花生,peanut,,GLOSBE_DICT_GROUP_d3a68b91815bed92,peanut,primary,https://glosbe.com/tay/en/bonaw,data/raw/html/static/tay_en/bonaw.html
GLOSBE_DICT_627bbc0f27f657cd,"tay,en",bruy,"space, empty",keep_in_xml,source_not_attested,source_not_attested_in_ildrf_reference,no,,,"space, empty",,GLOSBE_DICT_GROUP_e5e518f044e0285a,"space, empty",primary,https://glosbe.com/tay/en/bruy,data/raw/html/static/tay_en/bruy.html
